key,beta,sigma,t.statistic,p.value
1,-0.7293948233530834,1.417563582803304,-2.921452251460112,0.015286335763595948
2,-0.723576469667866,1.4111161255839055,-2.911389719156449,0.015551923125331157
3,-0.7177068891493459,1.405196639205815,-2.8999377539771163,0.015859870627590977
4,-0.7117872385509244,1.3997979361745827,-2.8871112034265347,0.01621211186339322
5,-0.7058186665417346,1.3949123652111648,-2.872928907366308,0.01661080029445594
6,-0.6998023137107552,1.39053182738844,-2.8574135759671817,0.01705831863740459
7,-0.6937393125712795,1.386647794698887,-2.8405916352321623,0.017557288379824842
8,-0.687630787565732,1.383251330880331,-2.8224930424127335,0.018110579330164245
9,-0.6814778550708335,1.3803331143010324,-2.803151074112806,0.018721319089905597
10,-0.675281623403144,1.3778834626831507,-2.7826020902764212,0.019392902320509164
11,-0.6690431928248926,1.3758923594259758,-2.7608852775737236,0.020128999661734093
12,-0.6627636555502304,1.3743494812767358,-2.7380423759330084,0.02093356614229147
13,-0.6564440957517524,1.3732442270879488,-2.7141173921071076,0.021810848908907166
14,-0.6500855895674147,1.3725657473961652,-2.6891563042149187,0.02276539408603473
15,-0.643689205107768,1.372302974556787,-2.663206761163732,0.023802052566225473
16,-0.6372560024635117,1.3724446531746173,-2.6363177807415474,0.024925984521006583
17,-0.6307870337134074,1.37297937057749,-2.6085394499817878,0.026142662414421203
18,-0.6242833429325311,1.3738955870927128,-2.579922631150749,0.027457872296839825
19,-0.6177459662008078,1.3751816659006162,-2.5505186764065853,0.02887771315555654
20,-0.611175931611927,1.3768259022569527,-2.5203791538376525,0.030408594101549058
21,-0.6045742592825529,1.3788165518953757,-2.4895555872182213,0.032057229179066615
22,-0.7342069095894033,1.4491589336948265,-2.87661083756984,0.016506352466142293
23,-0.7282144601976029,1.4430876476198244,-2.8651360736713176,0.01683407215623478
24,-0.7221735464218829,1.4375192802676122,-2.8523746049264718,0.017206264004986038
25,-0.7160853019459746,1.4324464998521194,-2.8383438883359293,0.01762506660222285
26,-0.7099508524510009,1.4278615736566962,-2.8230647702081155,0.018092835122223705
27,-0.703771315619952,1.4237563844575563,-2.806561354182512,0.018612150081535384
28,-0.6975478011425463,1.4201224488546196,-2.7888608444916247,0.019185826103621517
29,-0.6849732380726988,1.414232695967443,-2.749991768309864,0.020508742185588957
30,-0.6786243689417869,1.411958269294999,-2.7288914024356647,0.021264858906384076
31,-0.672235881099704,1.4101179246149693,-2.706729896814836,0.022089105796024633
32,-0.6658088443545771,1.408701677037121,-2.683546911941691,0.022985591950240525
33,-0.6528433636101489,1.4071004283243054,-2.63428380516193,0.025013125112078205
34,-0.6463070194715552,1.4068944314707705,-2.6082908963721967,0.026153811613262357
35,-0.6397363261668038,1.4070705936738244,-2.5814504220532175,0.027386023227916167
36,-0.6331323137948687,1.4076180638695621,-2.553808402951154,0.028715310551210127
37,-0.6264960045372324,1.4085258973567465,-2.525411377550155,0.03014751726945386
38,-0.6198284126667799,1.4097830816385626,-2.4963061650135696,0.03168877769564482
39,-0.6131305445569851,1.4113785616227963,-2.466539638680621,0.03334551217824466
