key,beta,sigma,t.statistic,p.value
1,-0.8855847567884616,2.5038132170201717,-2.318492317287657,0.04293566482457256
2,-0.8496146879717857,2.4704030251933955,-2.2544035387523285,0.047878015909218585
3,-0.8146996923037956,2.4383061983622816,-2.190215084790023,0.05337826256331957
4,-0.7808140111467059,2.407439849497474,-2.1260310796469044,0.05948363486539843
5,-0.7479324304429313,2.3777244818957777,-2.0619507667004595,0.06624200276486325
6,-0.716030270659466,2.3490840127914017,-1.9980681165194822,0.0737012377315408
7,-0.6850833768928632,2.3214457803597437,-1.9344715241200672,0.08190849555992241
8,-0.6550681091325758,2.294740534867927,-1.8712435915803411,0.09090943341673219
9,-0.6259613326805953,2.2689024149068975,-1.8084609908156075,0.10074737847508108
10,-0.5977404087252882,2.2438689097820346,-1.7461944002709275,0.11146246932601045
11,-0.5703831850673285,2.219580809245083,-1.6845085085483602,0.12309079442444237
12,-0.5438679869956713,2.1959821418202545,-1.6234620775307864,0.13566355397211594
13,-0.5181736083115528,2.1730201030164236,-1.5631080573621838,0.1492062725280373
14,-0.493279302498471,2.150644974726203,-1.5034937456630986,0.1637380892192919
15,-0.46916477403618556,2.128810037098634,-1.4446609835610735,0.17927115062447496
16,-0.4458101698567257,2.107471474135139,-1.386646381464419,0.19581012828757838
17,-0.4231960709405204,2.0865882742057704,-1.329481567966815,0.21335187854915938
18,-0.401303484050625,2.066122126616139,-1.273193455807461,0.2318852571974881
19,-0.38011383360322143,2.0460373152789355,-1.2178045193989866,0.2513910956527736
20,-0.3596089536724624,2.026300610460868,-1.1633330790459548,0.2718423393489523
21,-0.3397710801278058,2.0068811594887745,-1.1097935875911351,0.2932043430235254
22,-0.8234754025236937,2.4691839222544547,-2.1861232690449857,0.053748814688415636
23,-0.7894090014906581,2.4358445876664505,-2.124368996217656,0.05965030034600527
24,-0.7563494163675727,2.4037656940030443,-2.062565739368836,0.06617380083174396
25,-0.7242719493218132,2.3728694541319726,-2.0008073585719424,0.07336573094335819
26,-0.6931524266071403,2.343081271356305,-1.9391832511557174,0.08127219511705286
27,-0.6629671888548131,2.3143297527903743,-1.8777780262635562,0.0899382798642201
28,-0.6336930815200734,2.2865467084130766,-1.8166712550372963,0.0994072897331355
29,-0.5777881077960321,2.233629196131707,-1.6956451704935145,0.12091355572548024
30,-0.5511133725923,2.208374168112614,-1.6358585449378351,0.13302121367776176
31,-0.5252620121260512,2.1838464046733765,-1.5766357106219437,0.146070996931996
32,-0.5002132579697832,2.1599932696923143,-1.5180296582173296,0.1600852429690388
33,-0.45244273962596104,2.114114980105388,-1.402854004123474,0.1910639648471244
34,-0.4296816579057123,2.09199895816005,-1.3463649817005514,0.20803908834821916
35,-0.40764453080253765,2.070375659681812,-1.290654270907986,0.22599926056061448
36,-0.3863127593248236,2.04920634461749,-1.235750562425308,0.24493068978494226
37,-0.3656681539005804,2.0284547819854186,-1.1816783111754885,0.26481181856332225
38,-0.3456929265336821,2.0080871519156904,-1.1284579797023608,0.28561349681769244
39,-0.32636968309017655,1.988071946081143,-1.0761062876219976,0.3072993031264345
40,-0.7647048761704992,2.4349430338833287,-2.058649970653102,0.06660921103998096
41,-0.701164363108082,2.3696182924623064,-1.939630020383649,0.08121210136252333
42,-0.6708112690657292,2.3386998405226658,-1.8801968463354517,0.08958124110167776
43,-0.6128235317634875,2.2800005952616846,-1.7618865050948747,0.10866817120372618
44,-0.5323051136820881,2.1988352511327056,-1.5868848123347428,0.14373446664413936
45,-0.5071036858015017,2.173380320545367,-1.529461301832298,0.15726263905228866
46,-0.48268700571697964,2.148635861933068,-1.4725845631962324,0.17174702072266468
47,-0.4139486414256629,2.0781835621209606,-1.305689802902011,0.22102998448001798
48,-0.37169342636948205,2.0339310896290637,-1.1979152722670057,0.25871067826789473
49,-0.3515822815498098,2.0125023383219074,-1.1451649381453466,0.2789496696986291
50,-0.31330582425561754,1.9708682542093185,-1.0420494539772176,0.3220698393136531
51,-0.7091180319360543,2.400962395936043,-1.9360235109865522,0.08169839279586644
52,-0.6785992163337543,2.367770452126613,-1.87867308444756,0.08980600782331205
53,-0.6489966293463661,2.335744134724921,-1.8213551179459522,0.09865015131514243
54,-0.6202875754330266,2.304814826321399,-1.7641458986162153,0.10827114494808399
55,-0.5924498442729171,2.2749167304082936,-1.7071179982963924,0.11870701174595566
56,-0.565461701716678,2.245986869399808,-1.6503400496797744,0.12999274254409665
57,-0.5393018808837994,2.217965072046668,-1.593876576826504,0.14215956030224552
58,-0.5139495734038954,2.1907939507964285,-1.5377878774520155,0.1552342033240347
59,-0.48938442079991545,2.16441886974349,-1.4821299537331236,0.1692382493667628
60,-0.4655865060114722,2.1387879038869118,-1.4269544878538034,0.18418750256316552
61,-0.4425363450562588,2.1138517904666814,-1.3723088581466487,0.2000914639678022
62,-0.42021487882767755,2.089563873184042,-1.3182361914617025,0.21695290439661985
63,-0.39860346502691524,2.06588004012862,-1.264775447297805,0.23476755513417813
64,-0.3776838702274905,2.0427586562369684,-1.2119615292450578,0.25352392819218095
65,-0.3574382620705151,2.0201604910955386,-1.1598254193955169,0.2732032733241032
66,-0.3378492015888507,1.9980486428782165,-1.1083943315630955,0.2937796741836378
67,-0.31889963565834,1.9763884591757586,-1.0576918793972825,0.3152202811278847
68,-0.3005728895743842,1.9551474554350075,-1.007738255762175,0.33748567347696135
69,-0.6565662137119874,2.367137443563925,-1.818161727391802,0.0991657791296513
70,-0.6276984946856934,2.334029869585994,-1.762877495569514,0.10849386856748833
71,-0.5997045242619156,2.302045399201888,-1.7076580005873165,0.1186040570949708
72,-0.5725625511689706,2.2711195255393495,-1.6525720543353721,0.12953150031627425
73,-0.5462512909370489,2.241190393056623,-1.5976850828215796,0.14130813716994262
74,-0.52074991716411,2.2121987899545235,-1.5430589407086628,0.1539620017695308
75,-0.49603805292297765,2.184088131480267,-1.48875177197184,0.16751656005691973
76,-0.47209576230791106,2.156804434614852,-1.4348179144331397,0.18199009160265478
77,-0.44890354211855504,2.130296284710929,-1.3813078453896268,0.19739513657310326
78,-0.4264423136795787,2.1045147947065383,-1.3282681651426542,0.21373802662157848
79,-0.4046934147939829,2.079413557582504,-1.2757416149439276,0.23101851627556436
80,-0.3836385918283423,2.05494859275798,-1.2237671256974907,0.2492295283722502
81,-0.3632599919281586,2.0310782871321598,-1.1723798936797818,0.26835702338805467
82,-0.34354015536148697,2.0077633314801298,-1.1216114795524594,0.2883799983093056
83,-0.32446200798908276,1.984966652900715,-1.071489927030178,0.3092706162291843
84,-0.3060088538592947,1.9626533439942597,-1.0220398977143623,0.33099446337329286
85,-0.2881643679260422,1.9407905894204858,-0.9732828188016034,0.3535109259914778
86,-0.6069070064481418,2.3333843264658944,-1.7049566103399392,0.1191199029793576
87,-0.5796131441252447,2.3003722444743526,-1.651648254964956,0.12972222469106798
88,-0.5531523305806703,2.2684436172369016,-1.598432176970277,0.14114164958381903
89,-0.5275037226737039,2.237537759178154,-1.5453704804034514,0.15340698895753502
90,-0.502646926294836,2.2075964763991083,-1.492522184597922,0.16654304390698105
91,-0.4785619879358944,2.1785640545862464,-1.4399430706121787,0.1805699965696249
92,-0.4552293863970201,2.150387239107694,-1.3876855668348007,0.19550284991198097
93,-0.43263002462858846,2.1230152077336895,-1.3357986718091295,0.21135093417516404
94,-0.4107452217061884,2.096399536479796,-1.284327911903155,0.2281174967237285
95,-0.3895567049369883,2.070494159117433,-1.2333153311243301,0.24579938984972127
96,-0.3690466020954597,2.0452553209299507,-1.1827995101472708,0.264386868167377
97,-0.3491974337869216,2.0206415273135536,-1.1328156114828127,0.28386350373173663
98,-0.3299921059369401,1.9966134878320125,-1.0833954476553642,0.30420622310891676
99,-0.3114139024049224,1.9731340563335646,-1.0345675692671001,0.3253854665222471
100,-0.29344647772022525,1.9501681677290321,-0.9863573698983892,0.34736546511573785
101,-0.2760738499389688,1.9276827720129286,-0.9387872049140412,0.37010462852615156
102,-0.5600039963149601,2.299637284609635,-1.5962806200627007,0.1416215888057767
103,-0.5342100049534574,2.266734043843244,-1.54485920988618,0.15352959624230877
104,-0.5092100742299713,2.2348772247460182,-1.4935534645775452,0.16627762508092336
105,-0.484984234276713,2.204009693430957,-1.4424194729934297,0.1798872376901297
106,-0.4615129471127524,2.1740766576544677,-1.391510513721971,0.19437535930687377
107,-0.4387770985086818,2.145025651156024,-1.3408769280244142,0.2097537752571973
108,-0.41675798998365776,2.1168065113029217,-1.2905660260748422,0.2260286954949936
109,-0.39543733093317057,2.0893713504292104,-1.2406220248125095,0.2432004012611857
110,-0.3747972308856445,2.0626745213059583,-1.191086015380219,0.2612629864989917
111,-0.3548201918861508,2.036672577217204,-1.141995957862509,0.28020420387068523
112,-0.3354891010054882,2.011324227142351,-1.0933867008539793,0.3000054219398869
113,-0.31678722297283196,1.9865902865621514,-1.0452900232758575,0.32064169647611507
114,-0.2986981929303125,1.9624336244125191,-0.9977346958118783,0.3420819550912463
115,-0.2812060093078123,1.9388191067089995,-0.950746559343652,0.364289290724644
116,-0.2642950268162533,1.9157135373564727,-0.9043486178231525,0.3872213560414962
117,-0.5157265393673705,2.265846271451941,-1.4919920039078296,0.16667963867807212
118,-0.4677533021832794,2.2012993448425684,-1.3928848476637785,0.1939715903229764
