key,beta,sigma,t.statistic,p.value
1,-0.17018997532035166,0.6764566176439076,-8.231286342468692,9.191009090470104e-6
2,-0.15854974434898364,0.6413454423149735,-8.088113136516197,1.0725681978906998e-5
3,-0.1473311993316011,0.6106287208377345,-7.893892012486018,1.3269381129221713e-5
4,-0.13652235512703192,0.5842814002811462,-7.644611060408756,1.7538929979576956e-5
5,-0.1261115154643634,0.5622336227717567,-7.338572937892875,2.4932588908788134e-5
6,-0.11608726692346395,0.5443608469999602,-6.9770428411549,3.830102182111883e-5
7,-0.10643847302316198,0.5304779780834852,-6.56454999374331,6.371682556982616e-5
8,-0.09715426841549682,0.5203391935887712,-6.10870327985612,1.1466078900113086e-4
9,-0.08822405318445663,0.5136441284602614,-5.61950888840518,2.2214868717995717e-4
10,-0.07963748724764957,0.5100497191692656,-5.108327352579774,4.594908060462366e-4
11,-0.07138448485936014,0.509185798599919,-4.586709464753584,0.0010024813227970109
12,-0.0634552092134711,0.5106719166539748,-4.06535980765486,0.0022715979506765516
13,-0.05584006714474231,0.5141329879703207,-3.553400392379987,0.0052481821037837495
14,-0.04852970392695636,0.519212059903423,-3.057993476315146,0.012105476585070885
15,-0.04151499816645718,0.52557939986588,-2.584284796717266,0.027253222269599253
16,-0.03478705678961717,0.5329379017110207,-2.1355746782159426,0.058535238456961625
17,-0.02833721012282096,0.5410253366036301,-1.713614667703257,0.11747373248849458
18,-0.0221570070635015,0.5496142076365497,-1.3189454365532898,0.21672430451778946
19,-0.016238210340862466,0.5585099814710114,-0.9512198573591302,0.36406050950323876
20,-0.01057279186487043,0.5675483595878102,-0.6094814530867438,0.5559205353796185
21,-0.005152928162158175,0.5765920945759642,-0.29238769293083605,0.7760345922235614
22,-0.1584933979724465,0.6329662784170261,-8.19227056567228,9.58405341355828e-6
23,-0.1473882981839986,0.602075870577235,-8.009132273397098,1.1689774434442413e-5
24,-0.13668804491776207,0.5754916183709569,-7.770790725235741,1.5216630299796918e-5
25,-0.12638108767408895,0.5531543760421848,-7.474969422977369,2.1287422099613984e-5
26,-0.11645615520952615,0.534952251576192,-7.12231393220168,3.217329669302771e-5
27,-0.10690224970059108,0.5207138804778166,-6.716783876397576,5.267621199711581e-5
28,-0.09770864101226384,0.5102071514300345,-6.265563206204027,9.338661423374806e-5
29,-0.08036069833111645,0.4991926869165723,-5.26682843917473,3.6532834098168543e-4
30,-0.07218619236188403,0.49799018926714084,-4.74249663891922,7.908944040467825e-4
31,-0.06433162850572764,0.49916160806080867,-4.2165480572627185,0.0017850578819643692
32,-0.056787532654130154,0.5023347338992398,-3.6985668716247617,0.004126072840249351
33,-0.042594020551169266,0.5132878870670382,-2.714946680223794,0.021779832938464527
34,-0.03592681307264473,0.5204392818272852,-2.258511517793821,0.04754531562709041
35,-0.029534481338826264,0.5283436883940793,-1.8288854678608295,0.09744400950774845
36,-0.02340867881164697,0.536771603808186,-1.4267932766973508,0.18423278883834393
37,-0.017541270072828942,0.5455264995619752,-1.0520075766408756,0.31769646136901564
38,-0.011924326232361613,0.5544422065668738,-0.7036411831298934,0.49784354709584344
39,-0.00655012042277094,0.5633797872590087,-0.3803835324968698,0.7117011422224228
40,-0.1474061508362717,0.5940300396680347,-8.11859510383693,1.0377003386130568e-5
41,-0.12661042482469376,0.5446026864347105,-7.606123468483323,1.832176816685127e-5
42,-0.11678437351519118,0.5260763674575644,-7.262892679315909,2.724271512788423e-5
43,-0.09822158603642935,0.5006066512866882,-6.419245884493243,7.661583822926588e-5
44,-0.07294559727552094,0.48730037577025404,-4.89751779408955,6.268476497094388e-4
45,-0.06516551833614877,0.4881445868758578,-4.367602044228896,0.0014073493093426093
46,-0.05769227228085752,0.4910163937339114,-3.8441058385237254,0.003249633020800502
47,-0.03702342585672877,0.5083798828352156,-2.3826592102530357,0.0384863554485283
48,-0.024617061139221335,0.5243432263827869,-1.5360106484862752,0.1556652199142754
49,-0.018801004155101664,0.5329457172060127,-1.1541752393548708,0.2754067898351741
50,-0.007903983287451401,0.5505491136708405,-0.4697033197954303,0.6487431284908886
51,-0.1369011436229131,0.5594486851849383,-8.006090643896792,1.1728737906890885e-5
52,-0.12680052035529463,0.5365599667050932,-7.731725976969362,1.5897770796913235e-5
53,-0.1170729066991104,0.5177160175921516,-7.3984115085545925,2.3256281665773315e-5
54,-0.10770757809474353,0.5027720730384652,-7.008882806756008,3.6857201227036285e-5
55,-0.09869407088710258,0.4915235052451815,-6.569320583670154,6.333521476997728e-5
56,-0.09002217684079429,0.48370860396010285,-6.088907580701662,1.1769661585314672e-4
57,-0.08168193775431391,0.47901749905781593,-5.578896922286985,2.350354198601412e-4
58,-0.0736636401717931,0.4771058873948775,-5.051403778248937,4.993740386416423e-4
59,-0.06595781019081114,0.477611259139655,-4.518199015163636,0.0011138520760000103
60,-0.058555208364837553,0.48016907526468683,-3.989743984313071,0.002565511236697793
61,-0.051446824698866106,0.48442680405571165,-3.474594230570695,0.005985847850216386
62,-0.04462387373682066,0.4900545801613587,-2.9791783260866835,0.013849111664722136
63,-0.03807778973933345,0.4967521386815933,-2.507873752285492,0.03106710891053366
64,-0.03180022195051385,0.5042523455178042,-2.0632692628325513,0.06609586019567348
65,-0.025783029952333003,0.5123220092859663,-1.6465109521390167,0.13078745008234882
66,-0.020018279105273963,0.5207607612334336,-1.2576568806616388,0.2372277344182896
67,-0.014498236073910592,0.5293987217672241,-0.8959957773885235,0.3914558459400169
68,-0.009215364436098281,0.5380935261787136,-0.560310075375053,0.5877149892014297
69,-0.12695235238592842,0.5290071969361745,-7.851504001802317,1.3907495489129396e-5
70,-0.11732272455424672,0.5098535208805646,-7.528533745948571,2.001765544490386e-5
71,-0.10805106734791732,0.49456246328132225,-7.147951460606277,3.1206540493156076e-5
72,-0.09912704839376679,0.4829429820192141,-6.715370826486158,5.276863130465603e-5
73,-0.09054058746929854,0.4747467116279881,-6.2395752549583285,9.65948314751719e-5
74,-0.08228185118624698,0.46967580536833087,-5.7316485066934835,1.9034463835987392e-4
75,-0.07434124777042889,0.46739585246897775,-5.203776986680652,4.0005022759193043e-4
76,-0.0667094219364295,0.46755169770535177,-4.668004040564859,8.854468183133735e-4
77,-0.05937724985569432,0.46978361866664703,-4.135194048443562,0.0020314976306444743
78,-0.052335834216619845,0.47374166982218063,-3.6143586812223525,0.004742620944135023
79,-0.04557649937523256,0.4790968148155701,-3.1123710402670635,0.011034361456886188
80,-0.03909078659507514,0.4855483693528883,-2.6339989275821165,0.02502535419523
81,-0.032870449374942344,0.49282798770894004,-2.18214679286621,0.05411129223413513
82,-0.026907448863098492,0.5007008358922643,-1.758198444096645,0.10931910173759773
83,-0.021193949356657877,0.5089647304806281,-1.3623788354140594,0.20310271953365144
84,-0.01572231388479406,0.5174479742151851,-0.9940848510703675,0.3437704028015107
85,-0.010485099874486429,0.5260064811453243,-0.6521615055262244,0.5291276053147846
86,-0.11753478194253027,0.5024707386702427,-7.652957727543924,1.7373992404534633e-5
87,-0.10835637376776569,0.4868382462234614,-7.281878990089198,2.6642144996036343e-5
88,-0.09952145694458515,0.4748498244798377,-6.8569996560043345,4.432037688795187e-5
