key,beta,sigma,t.statistic,p.value
1,-15.942623896476556,1.2049087531603897,-2.1848303222324836,0.05386641682797377
2,-15.816704430932305,1.1980190364872323,-2.180039452130037,0.05430433984042282
3,-15.690533420480932,1.193013517238688,-2.1717229308333974,0.05507267552698614
4,-15.564117614563886,1.1898786001829147,-2.1599013867818955,0.05618282377376638
5,-15.437463753524018,1.1885919768977893,-2.1446440880094397,0.05764739047419254
6,-15.310578568337785,1.1891228591515586,-2.126067005769455,0.05948003729333895
7,-15.183468780348084,1.1914324058502637,-2.1043291228300673,0.061695250470939045
8,-15.056141100998593,1.195474323964696,-2.0796272352273646,0.06430803142950603
9,-14.928602231568627,1.2011956154216337,-2.052189595433478,0.06733351675958732
10,-14.80085886290827,1.2085374359335452,-2.022268805600361,0.07078654001142604
11,-14.67291767517541,1.2174360285240449,-1.990134387799161,0.07468115221125604
12,-14.544785337571945,1.2278236941098057,-1.9560654363393566,0.07903012168953405
13,-14.416468508082389,1.2396297636353781,-1.9203437028418238,0.08384443623645044
14,-14.287973833212497,1.2527815404067633,-1.883247388451343,0.08913283146633821
15,-14.159307947728932,1.2672051867834304,-1.845045831071069,0.09490136840198049
16,-14.030477474399905,1.2828265355971966,-1.8059951894451616,0.10115308074365892
17,-13.901489023735843,1.2995718129611142,-1.7663351486391543,0.10788770820285853
18,-13.772349193732541,1.3173682650250311,-1.7262866083491883,0.11510152716721367
19,-13.643064569613294,1.3361446863867805,-1.6860502689609773,0.12278728418898555
20,-13.513641723574377,1.3558318520845938,-1.6458060003856625,0.1309342319700697
21,-13.384087214528028,1.3763628583139509,-1.6057128636757727,0.139528262115443
22,-15.773427120602115,1.1922141455120303,-2.1846600464734176,0.05388192297884664
23,-15.64686608547374,1.1874945508811656,-2.1757440942759754,0.05469987804963505
24,-15.520067638236123,1.1846247439316744,-2.163340511086155,0.05585766255438096
25,-15.393038475483447,1.183581529661059,-2.147525101878885,0.057368064370857286
26,-15.265785284397333,1.1843334086004313,-2.1284195651603217,0.059244908999545376
27,-15.138314742481104,1.1868410200145043,-2.106187618949366,0.06150282150033781
28,-15.010633517296268,1.1910577522967125,-2.0810296828174955,0.06415691187802319
29,-14.754665636075318,1.204400479812684,-2.022881885758162,0.0707141351920757
30,-14.62639226308547,1.2134042306520663,-1.9904156826133959,0.07464619990532295
31,-14.49793477239547,1.223874491691239,-1.9560562133922264,0.07903133057876521
