key,beta,sigma,t.statistic,p.value
1,-12.499894656290772,1.08214282570849,-2.3364200887338713,0.04164437742703586
2,-12.17342085757011,1.0388809880035224,-2.370150923404147,0.03931676384088556
3,-11.849097056197635,0.9963353855736188,-2.4055194079572066,0.03701284689917206
4,-11.526918406756119,0.9545475781362003,-2.442557533658593,0.03474213864737108
5,-11.206880042320131,0.9135655668914485,-2.4812707975080253,0.0325152017370387
6,-10.888977074591638,0.8734448995258178,-2.52162634740923,0.030343680719735255
7,-10.5732045940345,0.8342499615875067,-2.563537081679454,0.028240319012407977
8,-10.259557670009066,0.7960554724362393,-2.606840550778107,0.02621896317827832
9,-9.948031350909012,0.7589481952459912,-2.6512713326044275,0.024294561804701686
10,-9.638620664295333,0.7230288529297341,-2.6964254864316897,0.022483175993633364
11,-9.331320617033969,0.6884142102206084,-2.74171588655591,0.020802034358033406
12,-9.026126195430447,0.655239229465613,-2.786317954504013,0.019269690269649975
13,-8.723032365367214,0.6236591253438263,-2.8291069513897287,0.01790637679419249
14,-8.422034072440244,0.5938510231064505,-2.868591110932196,0.016734710538091724
15,-8.123126242095148,0.5660147617892579,-2.9028500878964754,0.015780976681993852
16,-7.826303779765623,0.5403721870963626,-2.9294957787707316,0.01507734345152889
17,-7.531561571009001,0.5171640849451018,-2.945681836993399,0.014665517374032655
18,-7.238894481645709,0.4966437981689707,-2.948196272734091,0.014602572904941269
19,-6.94829735789525,0.47906668299073213,-2.9336722362969003,0.014969971891708678
20,-6.659765026515425,0.4646750678645602,-2.898936474754208,0.015887086946096973
21,-6.373292294940183,0.4536793886693781,-2.8414757299743094,0.017530701600525167
22,-12.156559538638161,1.0421519820176155,-2.359439174536508,0.04004181164032217
23,-11.833169919226728,0.9994258392091264,-2.394857575300676,0.037693069847739236
24,-11.511917973671242,0.9574391406182136,-2.4320117676153057,0.03537435438050662
25,-11.192798858827945,0.9162378028197029,-2.470925528221806,0.033096143712602055
26,-10.87580771022492,0.8758750278473291,-2.5115888095435017,0.030870021466503084
27,-10.560939642196443,0.8364125741571806,-2.5539428259622072,0.02870869383360286
28,-10.248189748017069,0.7979222396391455,-2.5978600493808948,0.026625989990459287
29,-9.629024749819441,0.7242058129141103,-2.689363212007919,0.022757312337085223
30,-9.322599728269868,0.6891900362980979,-2.7360700425073734,0.021004530274409294
31,-9.018273045778628,0.655571431575465,-2.7824830271279533,0.01939686333223023
32,-8.71603969235254,0.6235015594154911,-2.8275534194606236,0.017954132178313764
33,-8.117832831629716,0.5647272674923395,-2.9075722089089084,0.015653899232297763
34,-7.821849203662052,0.5384414388942074,-2.9383270017249288,0.014851216216884677
35,-7.52793866369047,0.5145391679645079,-2.9592850165871467,0.014328237326478255
36,-7.236096101857194,0.4932785283942344,-2.967162130764673,0.014136538703959922
37,-6.946316388741615,0.47492360223782687,-2.958420958878427,0.014349425054853704
