key,beta,sigma,t.statistic,p.value
1,-0.07078231452091022,0.6825934682930018,-5.097280409524822,4.6695643601157855e-4
2,-0.0664322817882723,0.6442355468837776,-5.068860972068349,4.8676389846114e-4
3,-0.062224944322045644,0.6080668537144739,-5.030244333674809,5.151274362863445e-4
4,-0.0581567746740782,0.5741285376235583,-4.979286006876579,5.552827250123737e-4
5,-0.05422431376184615,0.5424685510925761,-4.913550149727296,6.120775364674147e-4
6,-0.05042416990729035,0.5131405229037781,-4.830347096743308,6.929833697718601e-4
7,-0.046753017881367924,0.4862017823776761,-4.726819266972314,8.09862874901035e-4
8,-0.04320759795447745,0.4617103154157973,-4.60009117653645,9.82140560726208e-4
9,-0.03978471495293991,0.43972048661618557,-4.447494759220092,0.00124263810507097
10,-0.036481237321673674,0.4202774971896245,-4.266869068978757,0.0016485646516878338
11,-0.03329409619323582,0.40341078267446473,-4.056912322426908,0.0023026020626325527
12,-0.030220284463346927,0.3891268742432286,-3.8175366630579632,0.003393789994788121
13,-0.027256855873068586,0.3774025881732935,-3.5501506093508324,0.005276656813065439
14,-0.024400924097727844,0.36817965091077987,-3.257784753738322,0.008621168301202409
15,-0.02164966184274999,0.3613618728135485,-2.944995822142078,0.01468273826186639
16,-0.01900029994648648,0.3568156645246657,-2.6175346475882972,0.025742338360661643
17,-0.016450126490171774,0.35437408400276144,-2.2818294562991843,0.045698862461390766
18,-0.013996485915099229,0.35384388878783835,-1.9443892271708632,0.08057452933983444
19,-0.011636778147133126,0.3550144930292934,-1.611248647505889,0.13831252579162723
20,-0.009368457728633983,0.35766747896793244,-1.2875513011745523,0.22703618563970296
21,-0.007189032957899105,0.36158542603822036,-0.9773169953415306,0.3516063079472401
22,-0.06971097781861922,0.6361798263224628,-5.386382313083255,3.0802958708819883e-4
23,-0.06549081309767639,0.5998456486142016,-5.366816715689935,3.167067985374583e-4
24,-0.061408889910742025,0.5656341041563044,-5.336684814118464,3.305857578518312e-4
25,-0.05746178704024849,0.5335897662993878,-5.293556230390949,3.5159500611503525e-4
26,-0.0536461497580753,0.5037642155943509,-5.234643829433171,3.826310244698927e-4
27,-0.049958688885331934,0.47621476777334215,-5.1568448731481995,4.2817885526802435e-4
28,-0.04639617985789707,0.4510022488767745,-5.056842297981309,4.95408577936618e-4
29,-0.039633436591031884,0.40782697882146085,-4.777070749959781,7.50711027354245e-4
