key,beta,sigma,t.statistic,p.value
1,9.539300153322351,0.42252831465315355,2.4574264080579282,0.03386959704505421
2,9.019508466523847,0.4158085792435328,2.361072099142794,0.0399304453069258
3,8.513478345195953,0.4119610163141295,2.2494209682516604,0.04828457431654676
4,8.020934970034471,0.4108137903092028,2.1251999937123363,0.05956691630167088
5,7.5416079882496625,0.4121517056221726,1.991712628308739,0.0744852470302344
6,7.0752314540872305,0.41572831178743697,1.8524686810970403,0.09375413446761993
7,6.621543769975983,0.4212795505035215,1.7108372601617172,0.11799954859284356
8,6.180287628294832,0.4285368726461689,1.569785509647015,0.1476513133004136
9,5.751209953751567,0.4372382991387577,1.431729094218291,0.1828505630142674
10,5.33406184637688,0.4471366519176769,1.2984869839972835,0.22339914564909702
11,4.928598525120626,0.45800486009120184,1.1713135856957526,0.2687659711598186
12,4.534579272052145,0.46963870143035447,1.0509763525060838,0.31814725502951147
13,4.151767377156202,0.4818575520073161,0.9378516924403051,0.37056232648919507
14,3.779930083722707,0.4945037454924765,0.8320204595918579,0.42496030842558685
15,3.418838534324326,0.5074410665525351,0.7333525449645687,0.4803159459745052
16,3.068267717377783,0.5205527844331813,0.6415762830803157,0.535701293695256
17,2.727996414285973,0.533739513634785,0.5563322854423259,0.5903291358725961
18,2.39780714715304,0.5469170880839301,0.4772133470782582,0.6435708051050395
19,2.077486127072855,0.5600145590451002,0.40379286333328385,0.6949545577881019
20,1.7668232029818016,0.5729723736371671,0.33564426870994596,0.7441514192796275
21,1.4656118110744711,0.5857407558053476,0.2723537361522323,0.7909545156320569
22,9.491026842661569,0.43505872192950595,2.3745709275608315,0.03902134210525299
23,8.984653686656717,0.4293311723488067,2.277868998200257,0.04600749460646636
24,8.491653736011655,0.42618375401972125,2.16877855587642,0.055347191995019474
25,8.011759902892754,0.42544670876614593,2.049757961108647,0.06760807048914752
26,7.5447094447909,0.42691890159648965,1.9236097081860113,0.08339313249761171
27,7.090243906561937,0.4303777240418238,1.7932102601477218,0.103280767796887
28,6.64810906307937,0.4355896009290127,1.6612708963579177,0.12774785723060733
29,5.799835370065132,0.45034039883763094,1.4018275226001804,0.1913616314569242
30,5.393208712666663,0.45943662994802537,1.2777368914252498,0.2303416921618231
31,4.9979370237779746,0.4694104874972404,1.1589316289161813,0.27355091343736804
32,4.613786389144384,0.4800829549080951,1.046070659413578,0.3202983799140344
33,3.877932064797811,0.5029050823766319,0.8393324159287964,0.42103519511140164
34,3.5257798267079066,0.5147921752337872,0.7454921519125246,0.4732674829100425
35,3.183851441428703,0.5268501509209308,0.6577873403736741,0.5256532018581527
36,2.851931960756472,0.5389881879547715,0.5759433085996806,0.5775013937591293
37,2.5298100746392254,0.5511286790656763,0.4996371600142198,0.628246222940401
38,2.2172780608020917,0.5632056203277324,0.4285218825048824,0.6774490699819045
39,1.914131734923887,0.575163120384886,0.36224351285393125,0.7247902420266239
40,9.437353769947089,0.4505361289266333,2.2800293445260524,0.04583889236944538
41,8.463750334900473,0.4428493689528164,2.0803032050288954,0.06423515063725549
42,7.9961826957435145,0.44230121869060895,1.96781558845921,0.07750399445603229
43,7.0982388017593046,0.44688604870873694,1.7289149657162515,0.11461496921891245
44,5.840595230197584,0.464943549630333,1.3673405921255948,0.20159334491265601
45,5.444226593139993,0.4731561549483449,1.2524244086579848,0.23904946250053627
46,5.058892401951312,0.48216749212930426,1.1420295463377488,0.2801908837013265
47,3.9668424099268362,0.5125078618444523,0.8424890019131929,0.4193483354477793
48,3.2899142620889066,0.534277359407753,0.6702512513763162,0.5180039789681418
49,2.9661443585106433,0.5453362438488911,0.5920354954691234,0.5670896784474341
50,2.346966268795255,0.5674429867961436,0.4501989102238665,0.6622675231542681
51,9.378587781277185,0.4678592276690812,2.1819363246108354,0.05413054293914943
52,8.898026127056127,0.4633728262660195,2.0901763970801075,0.06317957656612405
53,8.43009341032059,0.46093982477118506,1.9907099118950367,0.07460965691311627
54,7.974537369553917,0.4604107764066184,1.8852972831288295,0.08883268275042644
55,7.531109855704775,0.46162092411813616,1.7757970121418658,0.10624473397499268
56,7.099566777154634,0.4643960990870303,1.6640375023776892,0.12718521818973305
57,6.679668045267662,0.46855853683340976,1.5517110387295705,0.1518935942672719
58,6.271177520517695,0.4739321042502695,1.44029943437373,0.18047160828370123
59,5.87386295918801,0.4803466081297483,1.3310332542248036,0.21285892390208672
60,5.487495960640135,0.4876410408517826,1.224880690538441,0.24882750527984354
61,5.111851915146814,0.4956657730252767,1.122558952656518,0.287995907667869
62,4.746709952286054,0.5042838076771807,1.0245602345043812,0.3298602621926493
63,4.391852889891277,0.5133712654362215,0.9311851731391078,0.3738356654111
64,4.047067183552788,0.5228172849637036,0.8425783599243897,0.41930065001049577
65,3.712142876668661,0.5325235111365555,0.7587622591722439,0.4656382871633924
66,3.3868735510373673,0.5424033176170595,0.679667446976615,0.5122695233383281
67,3.071056277992007,0.5523808797270577,0.605158255214874,0.5586767151238949
68,2.7644915700688517,0.5623901838143383,0.5350536888307598,0.6044173359536239
69,9.315025245756564,0.4861588891857642,2.0855741227157645,0.06366954840741101
70,8.846875013401608,0.48199972719755685,1.9978502099092879,0.073727989306691
71,8.390997200279,0.47967077979715317,1.9041016845781658,0.08612283915037733
72,7.9471466512588345,0.47903572908795156,1.8057729575716175,0.10118971856194237
73,7.515082211844481,0.4799477965969624,1.7043530341009043,0.11923543624643373
74,7.094566674549772,0.48225418378033974,1.6012889062062126,0.14050664013697267
75,6.6853667258458005,0.48580035612564015,1.4979152110624867,0.16515910668189437
76,6.287252893668698,0.49043386059968047,1.3954051021840161,0.19323300551103628
77,5.899999495491043,0.49600747813648904,1.2947430086515923,0.22463888309819124
78,5.5233845869443465,0.5023816256564289,1.1967167262607932,0.25915716387676413
79,5.157189910996317,0.5094260158202507,1.1019244730812314,0.29645125625407964
80,4.8012008476738615,0.5170206478947408,1.0107920346421673,0.3360917411458507
81,4.455206364329936,0.5250562392398245,0.9235955378527774,0.37758736758416467
82,4.118998966448462,0.5334342190808736,0.8404862939560382,0.4204180368562923
83,3.792374648985809,0.5420664016305684,0.7615151878623796,0.4640655199657465
84,3.475132848241781,0.550874441273438,0.6866550412180165,0.5080389149127063
85,3.1670763942584617,0.5597891539661954,0.6158201340962134,0.5518933253895805
86,9.246952300571804,0.5047736071118735,1.9939846129668457,0.07420407812039265
87,8.790895778591722,0.5007980307748849,1.9106904948399512,0.08519169954762662
88,8.346765175583181,0.49845681211832504,1.8226802349148286,0.09843691409885835
89,7.9143222457245574,0.49762673145957353,1.7311306751031625,0.11420625139198126
90,7.4933326349559,0.49817751335146937,1.6372338513194684,0.13273091359215183
91,7.083565828731839,0.4999751578318406,1.5421383323763915,0.15418353469891888
92,6.68479510032917,0.502885103957248,1.4469021194907938,0.17865697807114744
93,6.296797459704219,0.5067750341483452,1.3524597120987292,0.20614862105043008
94,5.919353602898194,0.5115171982577161,1.2596035276649529,0.23655289055628714
95,5.552247861984085,0.516990205485286,1.1689780448183735,0.26966341858993736
96,5.195268155551999,0.523080289914996,1.081083993637602,0.30518446996386694
97,4.848205939729172,0.529682096506013,0.9962895838184883,0.3427497415413697
98,4.510856159730865,0.5366990584190565,0.9148459497634936,0.3819456318087403
99,4.183017201937109,0.5440434461464414,0.8369044786577136,0.4223357968056989
100,3.864490846491022,0.5516361679104196,0.7625342837056428,0.4634841712116988
101,3.5550822204178845,0.5594063931341241,0.6917386600890175,0.5049744128145898
102,9.174645093579242,0.523213022945848,1.9086687034805347,0.08547641910928894
103,8.730373120346515,0.5193103198079371,1.8298929180308972,0.0972836803277376
104,8.297690299993263,0.5168712933527447,1.7474092616555066,0.11124382319860027
105,7.87636510431746,0.515785087101469,1.6621755224786712,0.1275636399244766
106,7.466169790892304,0.5159361630433406,1.5751492724698135,0.1464126385059914
107,7.066880352159948,0.5172068053277582,1.4872477896315444,0.16790626118171648
108,6.678276465066813,0.5194794704189678,1.3993160938715887,0.19209157509982533
109,6.300141441237539,0.5226388640803252,1.3121044933471235,0.21893759969909565
110,5.932262177681164,0.5265736700244175,1.2262556497913157,0.24833183538234005
111,5.574429108028084,0.5311778980636661,1.1423001269091864,0.28008359778746483
112,5.226436154293621,0.53635185558657406,1.0606587677478516,0.3139336842367666
113,4.888080679161339,0.5420027724210955,0.9816500245122501,0.34956897246303253
114,4.559163438786668,0.5480451252922094,0.9055004415261517,0.3866399770412994
115,4.239488536112439,0.5544007154191998,0.8323567533480676,0.4247792428161692
116,3.9288633746960437,0.5609985534085441,0.76229840230924,0.463618689311608
117,9.09837002328974,0.541121440802968,1.8301583908033903,0.09724147256302518
118,8.244055287177673,0.5346098423393728,1.6785093700220313,0.1242782238770137
119,7.833565689988187,0.5332275249162534,1.5990673453565285,0.14100024116996412
120,7.43389162660889,0.5329584350321456,1.518247972329527,0.1600309270964032
121,7.04481541561422,0.5336988570771242,1.4367895810617628,0.18144264739643723
122,5.939050550914592,0.5409584250876487,1.195013900695086,0.25979256494686775
