key,beta,sigma,t.statistic,p.value
1,-0.16966745392277113,2.5737403938942185,-6.740782894356427,5.1132998387326545e-5
2,-0.16469300386773417,2.529766088889013,-6.656889067915097,5.675157751672266e-5
3,-0.15985427233143054,2.489022197654328,-6.567075567940682,6.351449059915915e-5
4,-0.15514784960033304,2.451295594568543,-6.471822706864878,7.164944995385891e-5
5,-0.15057040409224057,2.4163768374172525,-6.371643777624231,8.143359703582931e-5
6,-0.14611868074263518,2.384061117919727,-6.26707501773801,9.320354949171605e-5
7,-0.14178949942054014,2.3541491470670644,-6.15866570178467,1.0736726827043075e-4
8,-0.13757975337341005,2.3264479563695533,-6.046968699664389,1.2441798020612627e-4
9,-0.13348640770059966,2.3007716005115944,-5.9325317800843935,1.4495039264439402e-4
10,-0.12950649785495788,2.2769417515202304,-5.8158898713463625,1.6967942763501664e-4
11,-0.1256371281721091,2.254788179075379,-5.697558421129736,1.994616812219796e-4
12,-0.1218754704269723,2.2341491157807662,-5.578027929127887,2.353197756534975e-4
13,-0.11821876241709674,2.21487150989322,-5.457759665443453,2.7846971631262374e-4
14,-0.11466430657237378,2.1968111710570617,-5.337182536491929,3.303512887052884e-4
15,-0.11120946859071433,2.1798328169584136,-5.216691020297765,3.9266143251692753e-4
16,-0.10785167609926331,2.1638100305010757,-5.096644064763118,4.673904092225012e-4
17,-0.10458841734074986,2.1486251381550456,-4.977364825058985,5.568604379984077e-4
18,-0.1014172398845605,2.1341690206141326,-4.859141108381792,6.637663143590489e-4
19,-0.09833574936213643,2.1203408669093733,-4.742226394230344,7.912173514601495e-4
20,-0.09534160822629992,2.107047882758272,-4.6268413042516,9.427798016590216e-4
21,-0.09243253453411723,2.094204963280052,-4.513175405814825,0.0011225187338165243
22,-0.1633896233977531,2.4865771711515157,-6.718913736422776,5.253724068321475e-5
23,-0.15859872424833976,2.4461909193056632,-6.629577861292761,5.872185065658453e-5
24,-0.1539386493539023,2.408796301322609,-6.534677088684333,6.616359764355373e-5
25,-0.14940610745376404,2.374186887877532,-6.43472490038208,7.511620009026387e-5
26,-0.14499788283484935,2.3421606831249036,-6.330259450325078,8.588804668763217e-5
27,-0.14071083376821347,2.312521006755101,-6.221833508454135,9.885317248703451e-5
28,-0.13654189097421965,2.285077295391186,-6.11000483058311,1.144641615743458e-4
29,-0.12854640032016168,2.23605022788709,-5.87834268896386,1.5591954745819425e-4
30,-0.12471406272607365,2.2141221465987893,-5.75957432268104,1.8320950318206908e-4
31,-0.12098824906035135,2.1937014427254904,-5.639520847579068,2.1607926188005333e-4
32,-0.11736623023905705,2.174636542960269,-5.518652006991281,2.556505674651266e-4
33,-0.11042297853330275,2.140011447284678,-5.276183564406163,3.604573211742901e-4
34,-0.10709660120575468,2.124191774148715,-5.155354109083152,4.2910625600622865e-4
35,-0.10386372721851786,2.1092088087029524,-5.035247966255798,5.113549289593733e-4
36,-0.10072193335781532,2.0949542424957865,-4.916160436831655,6.097080524691822e-4
37,-0.0976688537421843,2.0813279741173454,-4.798352011451123,7.270607787425165e-4
38,-0.09470217859791667,2.0682378270631503,-4.682049799913758,8.667399634546546e-4
39,-0.0918196530577217,2.0555992312831917,-4.567449312923739,0.0010325452676034352
40,-0.15733976461627808,2.404942867555694,-6.689755852213817,5.447469172659147e-5
41,-0.148238018871337,2.3335369388927814,-6.495632676707857,6.951565464963227e-5
42,-0.14387311861551336,2.301777974849157,-6.391352388125505,7.940039135545529e-5
43,-0.1354997434238955,2.245178841183357,-6.17112108329161,1.0562791460022591e-4
44,-0.12378630359644723,2.174858675644151,-5.819934392105092,1.6874991621995683e-4
45,-0.12009621515269626,2.1546330213869442,-5.6994447102477785,1.9894514937868202e-4
46,-0.11650877481700948,2.135757572298418,-5.578060446200498,2.3530912863123365e-4
47,-0.1063363170177395,2.085860588036802,-5.2128217145642335,3.948598425066452e-4
48,-0.10002126248754228,2.056981706465519,-4.972083784017842,5.61222002920414e-4
49,-0.09699652617014856,2.0435353455869567,-4.853450030008062,6.694353377083573e-4
50,-0.09120122301756364,2.018170798103603,-4.620822434345212,9.514878432521634e-4
51,-0.1515097739782681,2.328436004896938,-6.653541648729693,5.698917940888393e-5
52,-0.1470664806263321,2.2943808801630405,-6.554275922907681,6.454712996806222e-5
53,-0.14274472610721037,2.2628680398067353,-6.450262345766214,7.364270016796404e-5
54,-0.13854144443921923,2.2337062283370557,-6.342057741708098,8.459194046039897e-5
55,-0.13445364026009438,2.2067099044738043,-6.2302267961981785,9.777778243402757e-5
56,-0.13047838735953762,2.181699948619486,-6.115332773152979,1.1366303731252803e-4
57,-0.12661282723878026,2.158504270090863,-5.997929132313866,1.3280551271732666e-4
58,-0.12285416769674193,2.1369583073034324,-5.878552222836166,1.5587545298245686e-4
59,-0.11919968144235409,2.1169054182598965,-5.757715157681825,1.836754872287516e-4
60,-0.11564670473264296,2.0981971624210183,-5.635902907193303,2.1716323412979133e-4
61,-0.11219263603615212,2.0806934781984445,-5.513568593068454,2.57476660598166e-4
62,-0.10883493472130407,2.064262762829548,-5.39113091798698,3.0596222171530574e-4
63,-0.10557111976929794,2.048781863257191,-5.26897263212009,3.6420571997453077e-4
64,-0.10239876851115169,2.034135987869136,-5.147439915343084,4.34065713139864e-4
65,-0.09931551538849263,2.0202185496135026,-5.02684254201029,5.177091727374128e-4
66,-0.09631905073771854,2.006930951179434,-4.907454691997532,6.176489518191497e-4
67,-0.09340711959714222,1.9941823227074273,-4.789516275498225,7.367824651470789e-4
68,-0.09057752053675254,1.981889221964772,-4.673234647906276,8.784308229025095e-4
69,-0.14589182794820743,2.2566726098802863,-6.610570537921188,6.013661449744134e-5
70,-0.14161303640266187,2.22538593259601,-6.506904489707785,6.852950915714473e-5
71,-0.13745138150129652,2.1964319766050164,-6.3989377771818,7.863250830120183e-5
72,-0.133403904329333,2.1696278107075284,-6.287237075843903,9.079876261908204e-5
73,-0.12946771424233522,2.1447967258400165,-6.172368954932028,1.0545533344852309e-4
74,-0.12563998744467836,2.121768843869157,-6.0548913158921405,1.2311727110558834e-4
75,-0.12191796559425475,2.1003816220153024,-5.935345890530514,1.444038901390332e-4
76,-0.11829895443300294,2.08048024979283,-5.814251913830273,1.7005742664466528e-4
77,-0.11478032244284125,2.0619179390741738,-5.692101018937218,2.0096423295323795e-4
78,-0.11135949952661045,2.0445561110628714,-5.569353343008184,2.3817862001529466e-4
79,-0.10803397571361921,2.028264486517914,-5.446434784811695,2.829493958224072e-4
80,-0.10480129988939779,2.012921087483026,-5.3237353191258565,3.367490679488938e-4
81,-0.10165907854927363,1.9984121600614617,-5.201608248883785,4.013055793132825e-4
82,-0.09860497457538074,1.9846320284957601,-5.080370262608379,4.786363291707785e-4
83,-0.09563670603672422,1.97148289103969,-4.96030216035862,5.710840980469589e-4
84,-0.0927520450119238,1.9588745679357833,-4.8416501143190285,6.813543491523966e-4
85,-0.08994881643427188,1.9467242113272354,-4.724627338417417,8.125532246345823e-4
86,-0.14047837374550184,2.189286757780912,-6.561201211751016,6.398618525127464e-5
87,-0.1363581689367425,2.1605214633283882,-6.453556421274163,7.333432996869949e-5
88,-0.1323508518645915,2.133889936223522,-6.342073361227498,8.459023861595583e-5
89,-0.12845356712079695,2.1092179401418036,-6.227320930530326,9.814866291857349e-5
90,-0.12466352529206921,2.0863378716984426,-6.109860548395903,1.1448594062024586e-4
91,-0.12097800158313363,2.0650892678769392,-5.990238473271164,1.3417518640468362e-4
92,-0.11739433446526079,2.0453192083843685,-5.868979285812718,1.5790374215163272e-4
93,-0.1139099243498627,2.026882613075076,-5.746580592716354,1.8649304590279137e-4
94,-0.11052223228676301,2.009642437770513,-5.6235089479609,2.2092103994952872e-4
95,-0.10722877868673879,1.9934697743876817,-5.500196938533608,2.6234718366857646e-4
96,-0.10402714206794866,1.9782438632428108,-5.377041344107062,3.121400647513317e-4
97,-0.10091495782586311,1.9638520267353208,-5.254402254376889,3.7190751264548627e-4
98,-0.09788991702631453,1.9501895343912843,-5.132603012886132,4.4352901060851213e-4
99,-0.09494976522129463,1.9371594095283144,-5.011930850619251,5.291900792314674e-4
100,-0.0920923012871283,1.9246721876816002,-4.892638074610141,6.314181673948704e-4
101,-0.08931537628466196,1.9126456364930065,-4.774943684382837,7.531194405504538e-4
102,-0.13526212032819343,2.12593102783196,-6.50584266395462,6.862175854405184e-5
103,-0.1312947925626908,2.0994537479958777,-6.3946639370954586,7.906416687553097e-5
104,-0.12743625181405993,2.0749221710910257,-6.280116695908033,9.164030314712246e-5
105,-0.12368374273197602,2.0521710274369265,-6.162764929271779,1.0679144270875351e-4
