region_key,region_division,region_city,region_msa
110,ANTIOQUIA,ANZA,LA CHOLINA
111,ANTIOQUIA,ANZA,LOS LLANOS
112,ANTIOQUIA,ANZA,LA CEJITA
113,ANTIOQUIA,ANZA,LA HIGUINA
114,ANTIOQUIA,APARTADO,APARTADO
115,ANTIOQUIA,APARTADO,SAN JOSE DE APARTADO
116,ANTIOQUIA,APARTADO,CHURIDO
117,ANTIOQUIA,APARTADO,ZUNGO CARRETERA
118,ANTIOQUIA,APARTADO,LOS NARANJALES
119,ANTIOQUIA,APARTADO,VIJAGUAL
120,ANTIOQUIA,APARTADO,EL REPOSO
121,ANTIOQUIA,APARTADO,EL SALVADOR
122,ANTIOQUIA,APARTADO,PUERTO GIRON
123,ANTIOQUIA,ARBOLETES,ARBOLETES
124,ANTIOQUIA,ARBOLETES,BUENOS AIRES
125,ANTIOQUIA,ARBOLETES,EL CARMELO
126,ANTIOQUIA,ARBOLETES,LAS NARANJITAS
127,ANTIOQUIA,ARBOLETES,EL YESO
128,ANTIOQUIA,ARBOLETES,LA TRINIDAD
129,ANTIOQUIA,ARBOLETES,LAS PLATAS (SANTAFE)
130,ANTIOQUIA,ARBOLETES,LA CANDELARIA
131,ANTIOQUIA,ARBOLETES,EL GUADUAL
132,ANTIOQUIA,ARBOLETES,ARENOSA CARMELO
133,ANTIOQUIA,ARBOLETES,BARRANCUDA
134,ANTIOQUIA,ARBOLETES,LA ATOYOSA
135,ANTIOQUIA,ARBOLETES,PUEBLO CHINO
136,ANTIOQUIA,ARBOLETES,SAN JOSE DEL CARMELO
137,ANTIOQUIA,ARGELIA,ARGELIA
138,ANTIOQUIA,ARMENIA,ARMENIA
139,ANTIOQUIA,ARMENIA,LA HERRADURA
140,ANTIOQUIA,ARMENIA,LA LOMA
141,ANTIOQUIA,ARMENIA,EL SOCORRO
142,ANTIOQUIA,ARMENIA,MOJONES
143,ANTIOQUIA,ARMENIA,CARTAGÜEÑO
144,ANTIOQUIA,ARMENIA,FILO SECO
145,ANTIOQUIA,ARMENIA,LA PESCADORA
146,ANTIOQUIA,ARMENIA,LA QUIEBRA
147,ANTIOQUIA,ARMENIA,PALMICHAL
148,ANTIOQUIA,ARMENIA,PALO BLANCO
149,ANTIOQUIA,BARBOSA,BARBOSA
150,ANTIOQUIA,BARBOSA,HATILLO
151,ANTIOQUIA,BARBOSA,EL TABLAZO
152,ANTIOQUIA,BARBOSA,EL VERDE
153,ANTIOQUIA,BARBOSA,EL GUAYABO
154,ANTIOQUIA,BARBOSA,LAS VICTORIAS
155,ANTIOQUIA,BARBOSA,AGUAS CLARAS
156,ANTIOQUIA,BARBOSA,POPALITO
157,ANTIOQUIA,BARBOSA,FILOVERDE
158,ANTIOQUIA,BARBOSA,YARUMITO
159,ANTIOQUIA,BARBOSA,TABLAZO HATILLO
160,ANTIOQUIA,BELMIRA,BELMIRA
161,ANTIOQUIA,BELMIRA,LABORES
162,ANTIOQUIA,BELMIRA,QUEBRADITAS
163,ANTIOQUIA,BELMIRA,PLAYAS
164,ANTIOQUIA,BELLO,BELLO
165,ANTIOQUIA,BELLO,SAN FELIX
166,ANTIOQUIA,BELLO,EL PINAR
167,ANTIOQUIA,BELLO,EL ALBERGUE
168,ANTIOQUIA,BELLO,HATO VIEJO
169,ANTIOQUIA,BELLO,LA CHINA
170,ANTIOQUIA,BELLO,LA UNION
171,ANTIOQUIA,BETANIA,BETANIA
172,ANTIOQUIA,BETANIA,SAN LUIS
173,ANTIOQUIA,BETULIA,BETULIA
174,ANTIOQUIA,BETULIA,ALTAMIRA
175,ANTIOQUIA,CIUDAD BOLIVAR,CIUDAD BOLIVAR
176,ANTIOQUIA,CIUDAD BOLIVAR,SAN BERNARDO DE LOS FARALLONES
177,ANTIOQUIA,CIUDAD BOLIVAR,ALFONSO LOPEZ (SAN GREGORIO)
178,ANTIOQUIA,CIUDAD BOLIVAR,LA LINDA
179,ANTIOQUIA,CIUDAD BOLIVAR,VILLA ALEGRIA
180,ANTIOQUIA,BRICEÑO,BRICEÑO
181,ANTIOQUIA,BRICEÑO,BERLIN (PUEBLO NUEVO)
182,ANTIOQUIA,BRICEÑO,EL ROBLAL
183,ANTIOQUIA,BRICEÑO,LAS AURAS
184,ANTIOQUIA,BURITICA,BURITICA
185,ANTIOQUIA,BURITICA,EL NARANJO
186,ANTIOQUIA,BURITICA,GUARCO
187,ANTIOQUIA,BURITICA,TABACAL
188,ANTIOQUIA,BURITICA,URARCO
189,ANTIOQUIA,BURITICA,LA ANGELINA
190,ANTIOQUIA,CACERES,CACERES
191,ANTIOQUIA,CACERES,EL JARDIN (TAMANA)
192,ANTIOQUIA,CACERES,GUARUMO
193,ANTIOQUIA,CACERES,MANIZALES
194,ANTIOQUIA,CACERES,PUERTO BELGICA
195,ANTIOQUIA,CACERES,PIAMONTE
196,ANTIOQUIA,CACERES,NUEVA ESPERANZA
197,ANTIOQUIA,CACERES,RIO MAN
198,ANTIOQUIA,CAICEDO,CAICEDO
199,ANTIOQUIA,CAICEDO,ASESI
200,ANTIOQUIA,CAICEDO,LA SALAZAR
201,ANTIOQUIA,CALDAS,CALDAS
202,ANTIOQUIA,CALDAS,EL CAÑO
203,ANTIOQUIA,CALDAS,LA RAYA
204,ANTIOQUIA,CALDAS,LA MIEL
205,ANTIOQUIA,CALDAS,LA CORRALA
206,ANTIOQUIA,CALDAS,PRIMAVERA
207,ANTIOQUIA,CALDAS,EL RAIZAL
208,ANTIOQUIA,CALDAS,LA CLARA
209,ANTIOQUIA,CALDAS,LA QUIEBRA
210,ANTIOQUIA,CALDAS,LA SALADA PARTE BAJA
211,ANTIOQUIA,CALDAS,LA TOLVA
212,ANTIOQUIA,CALDAS,LA VALERIA
213,ANTIOQUIA,CAMPAMENTO,CAMPAMENTO
214,ANTIOQUIA,CAMPAMENTO,LA CHIQUITA
215,ANTIOQUIA,CAMPAMENTO,LA SOLITA
216,ANTIOQUIA,CAMPAMENTO,LLANADAS
217,ANTIOQUIA,CAMPAMENTO,MORROPELON
218,ANTIOQUIA,CAMPAMENTO,LOS CHORROS
219,ANTIOQUIA,CAÑASGORDAS,CAÑASGORDAS
220,ANTIOQUIA,CAÑASGORDAS,BUENOS AIRES
221,ANTIOQUIA,CAÑASGORDAS,CESTILLAL
222,ANTIOQUIA,CAÑASGORDAS,JUNTAS DE URAMITA
223,ANTIOQUIA,CAÑASGORDAS,SAN PASCUAL
224,ANTIOQUIA,CAÑASGORDAS,VERSALLES
225,ANTIOQUIA,CAÑASGORDAS,LA BALSA
226,ANTIOQUIA,CAÑASGORDAS,EL MADERO
227,ANTIOQUIA,CARACOLI,CARACOLI
228,ANTIOQUIA,CARACOLI,SARDINAS
229,ANTIOQUIA,CARACOLI,CASCARON
230,ANTIOQUIA,CARACOLI,EL BAGRE
231,ANTIOQUIA,CARACOLI,LAS AGUILAS
232,ANTIOQUIA,CARAMANTA,CARAMANTA
233,ANTIOQUIA,CARAMANTA,ALEGRIAS
234,ANTIOQUIA,CARAMANTA,SUCRE
235,ANTIOQUIA,CARAMANTA,BARRO BLANCO
236,ANTIOQUIA,CARAMANTA,CHIRAPOTO
237,ANTIOQUIA,CAREPA,CAREPA
238,ANTIOQUIA,CAREPA,PIEDRAS BLANCAS
239,ANTIOQUIA,CAREPA,ZUNGO EMBARCADERO - PUEBLO NUEVO
240,ANTIOQUIA,CAREPA,ZUNGO EMBARCADERO - 11 DE NOVIEMBRE
241,ANTIOQUIA,CAREPA,CASA VERDE
242,ANTIOQUIA,CAREPA,EL ENCANTO
243,ANTIOQUIA,CAREPA,ZUNGO EMBARCADERO - 28 DE OCTUBRE
244,ANTIOQUIA,EL CARMEN DE VIBORAL,EL CARMEN DE VIBORAL
245,ANTIOQUIA,EL CARMEN DE VIBORAL,SANTA INES
246,ANTIOQUIA,EL CARMEN DE VIBORAL,SANTA RITA
247,ANTIOQUIA,EL CARMEN DE VIBORAL,AGUAS CLARAS
248,ANTIOQUIA,EL CARMEN DE VIBORAL,LA CHAPA
249,ANTIOQUIA,EL CARMEN DE VIBORAL,LA ESPERANZA
250,ANTIOQUIA,EL CARMEN DE VIBORAL,LA AURORA - LAS BRISAS
251,ANTIOQUIA,EL CARMEN DE VIBORAL,LA MADERA
252,ANTIOQUIA,CAROLINA,CAROLINA
253,ANTIOQUIA,CAUCASIA,CAUCASIA
254,ANTIOQUIA,CAUCASIA,CUTURU
255,ANTIOQUIA,CAUCASIA,MARGENTO
256,ANTIOQUIA,CAUCASIA,PUERTO COLOMBIA
257,ANTIOQUIA,CAUCASIA,PALANCA
258,ANTIOQUIA,CAUCASIA,PALOMAR
259,ANTIOQUIA,CAUCASIA,SANTA ROSITA
260,ANTIOQUIA,CAUCASIA,CARACOLI
261,ANTIOQUIA,CAUCASIA,PUERTO TRIANA
262,ANTIOQUIA,CAUCASIA,LA ILUSION
263,ANTIOQUIA,CAUCASIA,CACERI
264,ANTIOQUIA,CAUCASIA,EL PANDO
265,ANTIOQUIA,CAUCASIA,CAMPO ALEGRE
266,ANTIOQUIA,CAUCASIA,EL CHINO
267,ANTIOQUIA,CAUCASIA,LA ESMERALDA
268,ANTIOQUIA,CAUCASIA,LA UNION
269,ANTIOQUIA,CAUCASIA,LAS MALVINAS
270,ANTIOQUIA,CAUCASIA,PUERTO ESPAÑA
271,ANTIOQUIA,CAUCASIA,VILLA DEL SOCORRO
272,ANTIOQUIA,CHIGORODO,CHIGORODO
273,ANTIOQUIA,CHIGORODO,BARRANQUILLITA
274,ANTIOQUIA,CHIGORODO,GUAPA CARRETERAS
275,ANTIOQUIA,CHIGORODO,JURADO
276,ANTIOQUIA,CISNEROS,CISNEROS
277,ANTIOQUIA,CISNEROS,FATIMA
278,ANTIOQUIA,CISNEROS,EL LIMON
279,ANTIOQUIA,COCORNA,COCORNA
280,ANTIOQUIA,COCORNA,AGUA LINDA
281,ANTIOQUIA,COCORNA,LA PIÑUELA
282,ANTIOQUIA,COCORNA,LAS CRUCES
283,ANTIOQUIA,COCORNA,LA PRIMAVERA
284,ANTIOQUIA,COCORNA,LA FLORIDA
285,ANTIOQUIA,COCORNA,LA GRANJA
286,ANTIOQUIA,COCORNA,PAILANIA
287,ANTIOQUIA,CONCEPCION,CONCEPCION
288,ANTIOQUIA,CONCORDIA,CONCORDIA
289,ANTIOQUIA,CONCORDIA,EL SOCORRO
290,ANTIOQUIA,CONCORDIA,EL GOLPE
291,ANTIOQUIA,CONCORDIA,SALAZAR
292,ANTIOQUIA,COPACABANA,COPACABANA
293,ANTIOQUIA,COPACABANA,SALADO
294,ANTIOQUIA,COPACABANA,CABUYAL
295,ANTIOQUIA,COPACABANA,ZARZAL (LA LUZ)
296,ANTIOQUIA,COPACABANA,ALVARADO
297,ANTIOQUIA,COPACABANA,EL CONVENTO
298,ANTIOQUIA,COPACABANA,EL NORAL
299,ANTIOQUIA,DABEIBA,DABEIBA
300,ANTIOQUIA,DABEIBA,GALILEA
301,ANTIOQUIA,DABEIBA,SAN JOSE DE URAMA (URAMAGRANDE)
302,ANTIOQUIA,DABEIBA,CARRA
303,ANTIOQUIA,DABEIBA,ARMENIA - CAMPARRUSIA
304,ANTIOQUIA,DABEIBA,LLANO GRANDE
305,ANTIOQUIA,DABEIBA,LAS CRUCES DE URAMA
306,ANTIOQUIA,DABEIBA,ARENERA
307,ANTIOQUIA,DABEIBA,CHIMIANDO
308,ANTIOQUIA,DABEIBA,EL BOTON
309,ANTIOQUIA,DABEIBA,CAMPARRUSIA
310,ANTIOQUIA,DABEIBA,EL ENCIERRO
311,ANTIOQUIA,DONMATIAS,DONMATIAS
312,ANTIOQUIA,DONMATIAS,BELLAVISTA
313,ANTIOQUIA,DONMATIAS,RIOGRANDE
314,ANTIOQUIA,EBEJICO,EBEJICO
315,ANTIOQUIA,EBEJICO,BRASIL
316,ANTIOQUIA,EBEJICO,SEVILLA
317,ANTIOQUIA,EL BAGRE,EL BAGRE
318,ANTIOQUIA,EL BAGRE,PUERTO CLAVER
319,ANTIOQUIA,EL BAGRE,PUERTO LOPEZ
320,ANTIOQUIA,EL BAGRE,EL REAL
321,ANTIOQUIA,EL BAGRE,LA CORONA
322,ANTIOQUIA,EL BAGRE,LAS NEGRITAS
323,ANTIOQUIA,EL BAGRE,SANTA BARBARA
324,ANTIOQUIA,EL BAGRE,MUQUI
325,ANTIOQUIA,ENTRERRIOS,ENTRERRIOS
326,ANTIOQUIA,ENVIGADO,ENVIGADO
327,ANTIOQUIA,ENVIGADO,LAS PALMAS
328,ANTIOQUIA,FREDONIA,FREDONIA
329,ANTIOQUIA,FREDONIA,LOS PALOMOS
