inst_key,inst_name,inst_country,inst_type,inst_category
49,Old Mutual Seguros de Vida,COLOMBIA,PRIVADO,COMPANIAS DE SEGUROS DE VIDA
50,PAN AMERICAN LIFE,COLOMBIA,PRIVADO,COMPANIAS DE SEGUROS DE VIDA
51,POSITIVA COMPANIA DE SEGUROS S.A,COLOMBIA,PRIVADO,COMPANIAS DE SEGUROS DE VIDA
52,RIESGOS PROFESIONALES COLMENA S.A.,COLOMBIA,PRIVADO,COMPANIAS DE SEGUROS DE VIDA
53,SURAMERICANA VIDA,COLOMBIA,PRIVADO,COMPANIAS DE SEGUROS DE VIDA
54,VIDA ESTADO S.A.,COLOMBIA,PRIVADO,COMPANIAS DE SEGUROS DE VIDA
55,VIDALFA S.A.,COLOMBIA,PRIVADO,COMPANIAS DE SEGUROS DE VIDA
56,ALFA S.A.,COLOMBIA,PRIVADO,COMPANIAS DE SEGUROS GENERALES
57,ALLIANZ SEGUROS S.A.,COLOMBIA,PRIVADO,COMPANIAS DE SEGUROS GENERALES
58,AXA Colpatria Seguros S.A.,COLOMBIA,PRIVADO,COMPANIAS DE SEGUROS GENERALES
59,BBVA SEGUROS COLOMBIA  S.A.,COLOMBIA,PRIVADO,COMPANIAS DE SEGUROS GENERALES
60,BERKLEY INTERN SEGUROS COLOMBIA SA,COLOMBIA,PRIVADO,COMPANIAS DE SEGUROS GENERALES
61,BOLIVAR S.A.,COLOMBIA,PRIVADO,COMPANIAS DE SEGUROS GENERALES
62,CARDIF  COLOMBIA SEG GENERALES SA,COLOMBIA,PRIVADO,COMPANIAS DE SEGUROS GENERALES
63,CHUBB DE COLOMBIA,COLOMBIA,PRIVADO,COMPANIAS DE SEGUROS GENERALES
64,COFACE COLOMBIA SEGUROS DE CREDITO,COLOMBIA,PRIVADO,COMPANIAS DE SEGUROS GENERALES
65,CONFIANZA,COLOMBIA,PRIVADO,COMPANIAS DE SEGUROS GENERALES
66,ESTADO S.A.,COLOMBIA,PRIVADO,COMPANIAS DE SEGUROS GENERALES
67,HDI SEGUROS S.A.,COLOMBIA,PRIVADO,COMPANIAS DE SEGUROS GENERALES
68,JMALUCELLITRAVELERS SEGUROS S.A.,COLOMBIA,PRIVADO,COMPANIAS DE SEGUROS GENERALES
69,LIBERTY SEGUROS S.A.,COLOMBIA,PRIVADO,COMPANIAS DE SEGUROS GENERALES
70,MAPFRE,COLOMBIA,PRIVADO,COMPANIAS DE SEGUROS GENERALES
71,MUNDIAL,COLOMBIA,PRIVADO,COMPANIAS DE SEGUROS GENERALES
72,Nacional de Seguros,COLOMBIA,PRIVADO,COMPANIAS DE SEGUROS GENERALES
73,PREVISORA,COLOMBIA,PRIVADO,COMPANIAS DE SEGUROS GENERALES
74,SBS SEGUROS COLOMBIA S.A,COLOMBIA,PRIVADO,COMPANIAS DE SEGUROS GENERALES
75,SEGUREXPO DE COLOMBIA S.A.,COLOMBIA,PRIVADO,COMPANIAS DE SEGUROS GENERALES
76,SOL. COLOMBIA SEG. DE CREDITO S.A.,COLOMBIA,PRIVADO,COMPANIAS DE SEGUROS GENERALES
77,SURAMERICANA S.A.,COLOMBIA,PRIVADO,COMPANIAS DE SEGUROS GENERALES
78,ZURICH COLOMBIA SEGUROS S.A.,COLOMBIA,PRIVADO,COMPANIAS DE SEGUROS GENERALES
79,CONFIAR COOPERATIVA FINANCIERA,COLOMBIA,PRIVADO,COOPERATIVAS CARACTER FINANCIERO
80,COOP FINANC EMPRESAS PUBL COOFINEP,COLOMBIA,PRIVADO,COOPERATIVAS CARACTER FINANCIERO
81,COOPERATIVA FINANCIERA DE ANTIOQUIA,COLOMBIA,PRIVADO,COOPERATIVAS CARACTER FINANCIERO
82,COOPKENNEDY,COLOMBIA,PRIVADO,COOPERATIVAS CARACTER FINANCIERO
83,COTRAFA COOPERATIVA FINANCIERA,COLOMBIA,PRIVADO,COOPERATIVAS CARACTER FINANCIERO
84,BANCA DE INVERSION BANCOLOMBIA S.A.,COLOMBIA,PRIVADO,CORPORACIONES FINANCIERAS
85,BNP PARIBAS COLOMBIA CORPORACION FI,COLOMBIA,PRIVADO,CORPORACIONES FINANCIERAS
86,CORPORACION FINANCIERA  COLOMBIANA,COLOMBIA,PRIVADO,CORPORACIONES FINANCIERAS
87,CORPORACION FINANCIERA DAVIVIE S.A.,COLOMBIA,PRIVADO,CORPORACIONES FINANCIERAS
88,CORPORACION FINANCIERA GNB SUDAMERi,COLOMBIA,PRIVADO,CORPORACIONES FINANCIERAS
89,JPMORGAN CORPORACION FINACIERA,COLOMBIA,PRIVADO,CORPORACIONES FINANCIERAS
90,COLPENSIONES,COLOMBIA,PUBLICO,ADM FONDOS DE PENSIONES Y CESANTIAS
91,AV VILLAS,COLOMBIA,PRIVADO,ESTABLECIMIENTOS BANCARIOS
92,BANAGRARIO,COLOMBIA,PRIVADO,ESTABLECIMIENTOS BANCARIOS
93,BANCAMIA S.A.,COLOMBIA,PRIVADO,ESTABLECIMIENTOS BANCARIOS
94,BANCO DE BOGOTA,COLOMBIA,PRIVADO,ESTABLECIMIENTOS BANCARIOS
95,BANCO DE OCCIDENTE,COLOMBIA,PRIVADO,ESTABLECIMIENTOS BANCARIOS
96,BANCO FALABELLA S.A.,COLOMBIA,PRIVADO,ESTABLECIMIENTOS BANCARIOS
97,BANCO GNB SUDAMERIS,COLOMBIA,PRIVADO,ESTABLECIMIENTOS BANCARIOS
98,BANCO PICHINCHA S.A.,COLOMBIA,PRIVADO,ESTABLECIMIENTOS BANCARIOS
99,BANCO POPULAR,COLOMBIA,PRIVADO,ESTABLECIMIENTOS BANCARIOS
100,BANCO SANTANDER,COLOMBIA,PRIVADO,ESTABLECIMIENTOS BANCARIOS
101,BANCO SERFINANSA S.A,COLOMBIA,PRIVADO,ESTABLECIMIENTOS BANCARIOS
102,BANCO W S.A.,COLOMBIA,PRIVADO,ESTABLECIMIENTOS BANCARIOS
103,BANCOLOMBIA,COLOMBIA,PRIVADO,ESTABLECIMIENTOS BANCARIOS
104,BANCOMPARTIR S.A.,COLOMBIA,PRIVADO,ESTABLECIMIENTOS BANCARIOS
105,BANCOOMEVA,COLOMBIA,PRIVADO,ESTABLECIMIENTOS BANCARIOS
106,BBVA COLOMBIA,COLOMBIA,PRIVADO,ESTABLECIMIENTOS BANCARIOS
107,BCSC S.A.,COLOMBIA,PRIVADO,ESTABLECIMIENTOS BANCARIOS
108,CITIBANK,COLOMBIA,PRIVADO,ESTABLECIMIENTOS BANCARIOS
109,COLPATRIA RED MULTIBANCA,COLOMBIA,PRIVADO,ESTABLECIMIENTOS BANCARIOS
110,COOPCENTRAL,COLOMBIA,PRIVADO,ESTABLECIMIENTOS BANCARIOS
111,CREDIFINANCIERA S.A.,COLOMBIA,PRIVADO,ESTABLECIMIENTOS BANCARIOS
112,DAVIVIENDA,COLOMBIA,PRIVADO,ESTABLECIMIENTOS BANCARIOS
113,FINANDINA,COLOMBIA,PRIVADO,ESTABLECIMIENTOS BANCARIOS
114,ITAU,COLOMBIA,PRIVADO,ESTABLECIMIENTOS BANCARIOS
115,MUNDO MUJER,COLOMBIA,PRIVADO,ESTABLECIMIENTOS BANCARIOS
116,Bancoldex,COLOMBIA,PUBLICO,INSTITUCIONES OFICIALES ESPECIALES
