type_from,type_to,inst_from,inst_to,inst_key
INSTITUCIONES OFICIALES ESPECIALES,INSTITUCIONES OFICIALES ESPECIALES,Bancoldex,Bancoldex,116
INSTITUCIONES OFICIALES ESPECIALES,INSTITUCIONES OFICIALES ESPECIALES,CAJA PROMOTORA DE VIVIENDA MILITAR,CAJA PROMOTORA DE VIVIENDA MILITAR,117
INSTITUCIONES OFICIALES ESPECIALES,INSTITUCIONES OFICIALES ESPECIALES,FDO DE GTIAS DE ENT COOP-FOGACOOP,FDO DE GTIAS DE ENT COOP-FOGACOOP,118
INSTITUCIONES OFICIALES ESPECIALES,INSTITUCIONES OFICIALES ESPECIALES,"Fin, de Desarrollo Nacional S,A,",Fin. de Desarrollo Nacional S.A.,119
INSTITUCIONES OFICIALES ESPECIALES,INSTITUCIONES OFICIALES ESPECIALES,Fin. de Desarrollo Nacional S.A.,Fin. de Desarrollo Nacional S.A.,119
INSTITUCIONES OFICIALES ESPECIALES,INSTITUCIONES OFICIALES ESPECIALES,FINAGRO,FINAGRO,120
INSTITUCIONES OFICIALES ESPECIALES,INSTITUCIONES OFICIALES ESPECIALES,"FINDETER S,A,",FINDETER S.A.,121
INSTITUCIONES OFICIALES ESPECIALES,INSTITUCIONES OFICIALES ESPECIALES,FINDETER S.A.,FINDETER S.A.,121
INSTITUCIONES OFICIALES ESPECIALES,INSTITUCIONES OFICIALES ESPECIALES,FOGAFIN - FONDO DE GARANTIAS,FOGAFIN - FONDO DE GARANTIAS,122
INSTITUCIONES OFICIALES ESPECIALES,INSTITUCIONES OFICIALES ESPECIALES,FONADE,FONADE,123
INSTITUCIONES OFICIALES ESPECIALES,INSTITUCIONES OFICIALES ESPECIALES,"FONDO NACIONAL DE GARANTIAS S,A,",FONDO NACIONAL DE GARANTIAS S.A.,124
INSTITUCIONES OFICIALES ESPECIALES,INSTITUCIONES OFICIALES ESPECIALES,FONDO NACIONAL DE GARANTIAS S.A.,FONDO NACIONAL DE GARANTIAS S.A.,124
INSTITUCIONES OFICIALES ESPECIALES,INSTITUCIONES OFICIALES ESPECIALES,FONDO NACIONAL DEL AHORRO,FONDO NACIONAL DEL AHORRO,125
INSTITUCIONES OFICIALES ESPECIALES,INSTITUCIONES OFICIALES ESPECIALES,ICETEX,ICETEX,126
ORGANISMOS DE AUTORREGULACION,ORGANISMOS DE AUTORREGULACION,CORPORACION AUTORREGULADOR DEL MERCADO DE VALORES  DE COLOMBIA  AMV,AMV,127
PROVEEDOR DE PRECIOS PARA VALORACIO,PROVEEDOR DE PRECIOS,PRECIA PROVEEDOR DE PRECIOS PAR,PRECIA PROVEEDOR DE PRECIOS PAR,128
PROVEEDOR DE PRECIOS PARA VALORACIO,PROVEEDOR DE PRECIOS,PROVEEDOR INTEGRAL DE PRECIOS COLOM,PROVEEDOR INTEGRAL DE PRECIOS COLOM,129
SISTEMAS DE PAGO DE BAJO VALOR,SISTEMAS DE PAGO DE BAJO VALOR,A TODA HORA - ATH,ATH,130
SISTEMAS DE PAGO DE BAJO VALOR,SISTEMAS DE PAGO DE BAJO VALOR,ACH COLOMBIA,ACH COLOMBIA,131
SISTEMAS DE PAGO DE BAJO VALOR,SISTEMAS DE PAGO DE BAJO VALOR,"ASSENDA RED S,A,",ASSENDA RED S.A.,132
SISTEMAS DE PAGO DE BAJO VALOR,SISTEMAS DE PAGO DE BAJO VALOR,ASSENDA RED S.A.,ASSENDA RED S.A.,132
SISTEMAS DE PAGO DE BAJO VALOR,SISTEMAS DE PAGO DE BAJO VALOR,CREDIBANCO,CREDIBANCO,133
SISTEMAS DE PAGO DE BAJO VALOR,SISTEMAS DE PAGO DE BAJO VALOR,"Mastercard Colombia Admin S,A, MCCA",Mastercard Colombia Admin S.A. MCCA,134
SISTEMAS DE PAGO DE BAJO VALOR,SISTEMAS DE PAGO DE BAJO VALOR,Mastercard Colombia Admin S.A. MCCA,Mastercard Colombia Admin S.A. MCCA,134
SISTEMAS DE PAGO DE BAJO VALOR,SISTEMAS DE PAGO DE BAJO VALOR,REDEBAN  MULTICOLOR,REDEBAN  MULTICOLOR,135
SISTEMAS DE PAGO DE BAJO VALOR,SISTEMAS DE PAGO DE BAJO VALOR,SERVIBANCA,SERVIBANCA,136
SISTEMAS DE PAGO DE BAJO VALOR,SISTEMAS DE PAGO DE BAJO VALOR,"VISA COLOMBIA SUPPORT SERVICES S,A",VISA COLOMBIA SUPPORT SERVICES S.A,137
SISTEMAS DE PAGO DE BAJO VALOR,SISTEMAS DE PAGO DE BAJO VALOR,VISA COLOMBIA SUPPORT SERVICES S.A,VISA COLOMBIA SUPPORT SERVICES S.A,137
SISTEMAS DE PAGO DE BAJO VALOR,SISTEMAS DE PAGO DE BAJO VALOR,VISIONAMOS,VISIONAMOS,138
SOC ADM SIST DE  NEG Y REG SOBRE VA,SOC ADM SIST DE  NEG Y REG SOBRE VA,"DERIVEX S,A,",DERIVEX S.A.,139
SOC ADM SIST DE  NEG Y REG SOBRE VA,SOC ADM SIST DE  NEG Y REG SOBRE VA,DERIVEX S.A.,DERIVEX S.A.,139
SOC ADM SIST DE  NEG Y REG SOBRE VA,SOC ADM SIST DE  NEG Y REG SOBRE VA,"GFI SECURITIES COLOMBIA S,A",GFI SECURITIES COLOMBIA S.A.,140
SOC ADM SIST DE  NEG Y REG SOBRE VA,SOC ADM SIST DE  NEG Y REG SOBRE VA,GFI SECURITIES COLOMBIA S.A,GFI SECURITIES COLOMBIA S.A.,140
SOC ADM SIST DE  NEG Y REG SOBRE VA,SOC ADM SIST DE  NEG Y REG SOBRE VA,"SET-ICAP SECURITIES COLOMBIA S,A",SET-ICAP SECURITIES COLOMBIA S.A.,141
SOC ADM SIST DE  NEG Y REG SOBRE VA,SOC ADM SIST DE  NEG Y REG SOBRE VA,SET-ICAP SECURITIES COLOMBIA S.A,SET-ICAP SECURITIES COLOMBIA S.A.,141
SOC ADM SIST DE  NEG Y REG SOBRE VA,SOC ADM SIST DE  NEG Y REG SOBRE VA,"TRADITION SECURITIES COLOMBIA S,A,",TRADITION SECURITIES COLOMBIA S.A.,142
SOC ADM SIST DE  NEG Y REG SOBRE VA,SOC ADM SIST DE  NEG Y REG SOBRE VA,TRADITION SECURITIES COLOMBIA S.A.,TRADITION SECURITIES COLOMBIA S.A.,142
SOC ADM SIST DE COMP Y LIQ DE DIVIS,SOC ADM SIST DE COMP Y LIQ DE DIVIS,CAMARA DE COMP DE DIVISAS D COLOMBI,CAMARA DE COMP DE DIVISAS D COLOMBI,143
SOC ADM SIST DE NEG Y REG DE DIVISA,SOC ADM SIST DE NEG Y REG DE DIVISA,"GFI EXCHANGE COLOMBIA S,A",GFI EXCHANGE COLOMBIA S.A.,144
SOC ADM SIST DE NEG Y REG DE DIVISA,SOC ADM SIST DE NEG Y REG DE DIVISA,GFI EXCHANGE COLOMBIA S.A,GFI EXCHANGE COLOMBIA S.A.,144
SOC ADM SIST DE NEG Y REG DE DIVISA,SOC ADM SIST DE NEG Y REG DE DIVISA,"SET ICAP FX S,A,",SET ICAP FX S.A.,145
SOC ADM SIST DE NEG Y REG DE DIVISA,SOC ADM SIST DE NEG Y REG DE DIVISA,SET ICAP FX S.A.,SET ICAP FX S.A.,145
SOC ADM SIST DE NEG Y REG DE DIVISA,SOC ADM SIST DE NEG Y REG DE DIVISA,"TRADITION COLOMBIA S,A,",TRADITION COLOMBIA S.A.,146
SOC ADM SIST DE NEG Y REG DE DIVISA,SOC ADM SIST DE NEG Y REG DE DIVISA,TRADITION COLOMBIA S.A.,TRADITION COLOMBIA S.A.,146
SOC ESP DEPOSITOS Y PAGOS ELECTRONI,SOC ESP DEPOSITOS Y PAGOS ELECTRONI,"AVAL SOLUCIONES DIGITALES S,A",AVAL SOLUCIONES DIGITALES S.A.,147
SOC ESP DEPOSITOS Y PAGOS ELECTRONI,SOC ESP DEPOSITOS Y PAGOS ELECTRONI,AVAL SOLUCIONES DIGITALES S.A,AVAL SOLUCIONES DIGITALES S.A.,147
SOC ESP DEPOSITOS Y PAGOS ELECTRONI,SOC ESP DEPOSITOS Y PAGOS ELECTRONI,"COINK S,A,",COINK S.A.,148
SOC ESP DEPOSITOS Y PAGOS ELECTRONI,SOC ESP DEPOSITOS Y PAGOS ELECTRONI,COINK S.A.,COINK S.A.,148
SOC ESP DEPOSITOS Y PAGOS ELECTRONI,SOC ESP DEPOSITOS Y PAGOS ELECTRONI,"Movii S,A SEDPE",MOVII S.A. SEDPE,149
SOC ESP DEPOSITOS Y PAGOS ELECTRONI,SOC ESP DEPOSITOS Y PAGOS ELECTRONI,Movii S.A SEDPE,MOVII S.A. SEDPE,149
SOC ESP DEPOSITOS Y PAGOS ELECTRONI,SOC ESP DEPOSITOS Y PAGOS ELECTRONI,MOVII S.A SEDPE,MOVII S.A. SEDPE,149
SOC ESP DEPOSITOS Y PAGOS ELECTRONI,SOC ESP DEPOSITOS Y PAGOS ELECTRONI,PAGOS GDE SA,PAGOS GDE S.A.,150
SOC ESP DEPOSITOS Y PAGOS ELECTRONI,SOC ESP DEPOSITOS Y PAGOS ELECTRONI,"TECNIPAGOS S,A,",TECNIPAGOS S.A.,151
SOC ESP DEPOSITOS Y PAGOS ELECTRONI,SOC ESP DEPOSITOS Y PAGOS ELECTRONI,TECNIPAGOS S.A.,TECNIPAGOS S.A.,151
"SOC, ADM, FONDOS DE PENSIONES Y CES",ADM FONDOS DE PENSIONES Y CESANTIAS,"COLFONDOS S,A,",COLFONDOS S.A.,155
"SOC, ADM, FONDOS DE PENSIONES Y CES",ADM FONDOS DE PENSIONES Y CESANTIAS,OLD MUTUAL SOCIEDAD AFPC,OLD MUTUAL SOCIEDAD AFPC,152
"SOC, ADM, FONDOS DE PENSIONES Y CES",ADM FONDOS DE PENSIONES Y CESANTIAS,"PORVENIR S,A,",PORVENIR S.A.,153
"SOC, ADM, FONDOS DE PENSIONES Y CES",ADM FONDOS DE PENSIONES Y CESANTIAS,"PROTECCION S,A,",PROTECCION S.A.,154
SOC. ADM. FONDOS DE PENSIONES Y CES,ADM FONDOS DE PENSIONES Y CESANTIAS,COLFONDOS S.A.,COLFONDOS S.A.,155
SOC. ADM. FONDOS DE PENSIONES Y CES,ADM FONDOS DE PENSIONES Y CESANTIAS,OLD MUTUAL SOCIEDAD AFPC,OLD MUTUAL SOCIEDAD AFPC,152
SOC. ADM. FONDOS DE PENSIONES Y CES,ADM FONDOS DE PENSIONES Y CESANTIAS,PORVENIR S.A.,PORVENIR S.A.,153
SOC. ADM. FONDOS DE PENSIONES Y CES,ADM FONDOS DE PENSIONES Y CESANTIAS,PROTECCION S.A.,PROTECCION S.A.,154
SOCIEDADES ADMINISTRADORAS DE DEPOSITOS CENTRALIZADOS V,SOCIEDADES ADMINISTRADORAS DE DEPOSITOS CENTRALIZADOS V,DEPOSITO CENTRALIZADO DE VALORES DE COLOMBIA DECEVAL S.A.,DEPOSITO CENTRALIZADO DE VALORES DE COLOMBIA DECEVAL S.A.,156
SOCIEDADES ADMINISTRADORAS DE INVERSION,SOCIEDADES ADMINISTRADORAS DE INVERSION,PROGRESION SOCIEDAD ADMINISTRADORA DE INVERSION S.A.,PROGRESION SOCIEDAD ADMINISTRADORA DE INVERSION S.A.,157
SOCIEDADES ADMINISTRADORAS DE INVERSION,SOCIEDADES ADMINISTRADORAS DE INVERSION,SEAF COLOMBIA S.A. SOCIEDAD ADMINISTRADORA DE INVERSION,SEAF COLOMBIA S.A. SOCIEDAD ADMINISTRADORA DE INVERSION,158
SOCIEDADES CALIFICADORAS DE VALORES,SOCIEDADES CALIFICADORAS DE VALORES,BRC INVESTOR SERVICES S.A. SOCIEDAD CALIFICADORA DE VALORES,BRC INVESTOR SERVICES S.A. SOCIEDAD CALIFICADORA DE VALORES,159
SOCIEDADES CALIFICADORAS DE VALORES,SOCIEDADES CALIFICADORAS DE VALORES,FITCH RATINGS COLOMBIA S.A. SOCIEDAD CALIFICADORA DE VALORES,FITCH RATINGS COLOMBIA S.A. SOCIEDAD CALIFICADORA DE VALORES,160
SOCIEDADES CALIFICADORAS DE VALORES,SOCIEDADES CALIFICADORAS DE VALORES,VALUE AND RISK RATING S.A.,VALUE AND RISK RATING S.A.,161
SOCIEDADES COMISIONISTAS DE BOLSAS AGROPECUARIAS,SOCIEDADES COMISIONISTAS DE BOLSAS AGROPECUARIAS,AGROBOLSA S.A. COMISIONISTA DE BOLSA,AGROBOLSA S.A. COMISIONISTA DE BOLSA,162
SOCIEDADES COMISIONISTAS DE BOLSAS AGROPECUARIAS,SOCIEDADES COMISIONISTAS DE BOLSAS AGROPECUARIAS,BURSATILES GANADEROS DE COLOMBIA S.A.,BURSATILES GANADEROS DE COLOMBIA S.A.,163
SOCIEDADES COMISIONISTAS DE BOLSAS AGROPECUARIAS,SOCIEDADES COMISIONISTAS DE BOLSAS AGROPECUARIAS,COMISIONISTAS AGROPECUARIOS S.A. COMIAGRO S.A.,COMISIONISTAS AGROPECUARIOS S.A. COMIAGRO S.A.,164
SOCIEDADES COMISIONISTAS DE BOLSAS AGROPECUARIAS,SOCIEDADES COMISIONISTAS DE BOLSAS AGROPECUARIAS,COMISIONISTAS FINANCIEROS AGROPECUARIOS S.A.,COMISIONISTAS FINANCIEROS AGROPECUARIOS S.A.,165
SOCIEDADES COMISIONISTAS DE BOLSAS AGROPECUARIAS,SOCIEDADES COMISIONISTAS DE BOLSAS AGROPECUARIAS,CORREAGRO S.A.,CORREAGRO S.A.,166
SOCIEDADES COMISIONISTAS DE BOLSAS AGROPECUARIAS,SOCIEDADES COMISIONISTAS DE BOLSAS AGROPECUARIAS,CORREDORES DE VALORES AGROPECUARIOS S.A.,CORREDORES DE VALORES AGROPECUARIOS S.A.,167
SOCIEDADES COMISIONISTAS DE BOLSAS AGROPECUARIAS,SOCIEDADES COMISIONISTAS DE BOLSAS AGROPECUARIAS,GEOCAPITAL S.A.,GEOCAPITAL S.A.,168
SOCIEDADES COMISIONISTAS DE BOLSAS AGROPECUARIAS,SOCIEDADES COMISIONISTAS DE BOLSAS AGROPECUARIAS,MERCADO Y BOLSA S.A.,MERCADO Y BOLSA S.A.,169
SOCIEDADES COMISIONISTAS DE BOLSAS AGROPECUARIAS,SOCIEDADES COMISIONISTAS DE BOLSAS AGROPECUARIAS,MIGUEL  QUIJANO  Y  COMPANIA  S. A.,MIGUEL  QUIJANO  Y  COMPANIA  S. A.,170
SOCIEDADES COMISIONISTAS DE BOLSAS AGROPECUARIAS,SOCIEDADES COMISIONISTAS DE BOLSAS AGROPECUARIAS,RENTA Y CAMPO CORREDORES S.A.,RENTA Y CAMPO CORREDORES S.A.,171
SOCIEDADES COOPERATIVAS DE SEGUROS,SOCIEDADES COOPERATIVAS DE SEGUROS,LA EQUIDAD SEGUROS GENERALES,LA EQUIDAD SEGUROS GENERALES,172
SOCIEDADES COOPERATIVAS DE SEGUROS,SOCIEDADES COOPERATIVAS DE SEGUROS,SOLIDARIA,SOLIDARIA,173
SOCIEDADES DE CAPITALIZACION,SOCIEDADES DE CAPITALIZACION,"AXA COLPATRIA CAPITALIZADORA S,A,",AXA COLPATRIA CAPITALIZADORA S.A.,174
SOCIEDADES DE CAPITALIZACION,SOCIEDADES DE CAPITALIZACION,AXA COLPATRIA CAPITALIZADORA S.A.,AXA COLPATRIA CAPITALIZADORA S.A.,174
SOCIEDADES DE CAPITALIZACION,SOCIEDADES DE CAPITALIZACION,BOLIVAR,BOLIVAR,175
SOCIEDADES DE CAPITALIZACION,SOCIEDADES DE CAPITALIZACION,"CAPITALIZADORA COLMENA S,A,",CAPITALIZADORA COLMENA S.A.,176
SOCIEDADES DE CAPITALIZACION,SOCIEDADES DE CAPITALIZACION,CAPITALIZADORA COLMENA S.A.,CAPITALIZADORA COLMENA S.A.,176
SOCIEDADES FIDUCIARIAS,SOCIEDADES FIDUCIARIAS,ACCION FIDUCIARIA,ACCION FIDUCIARIA,177
SOCIEDADES FIDUCIARIAS,SOCIEDADES FIDUCIARIAS,"ALIANZA S,A,",ALIANZA S.A.,178
SOCIEDADES FIDUCIARIAS,SOCIEDADES FIDUCIARIAS,ALIANZA S.A.,ALIANZA S.A.,178
SOCIEDADES FIDUCIARIAS,SOCIEDADES FIDUCIARIAS,"ASHMORE INVESTMENT ADVISORS CO S,A,",ASHMORE INVESTMENT ADVISORS CO S.A.,179
SOCIEDADES FIDUCIARIAS,SOCIEDADES FIDUCIARIAS,ASHMORE INVESTMENT ADVISORS CO S.A.,ASHMORE INVESTMENT ADVISORS CO S.A.,179
SOCIEDADES FIDUCIARIAS,SOCIEDADES FIDUCIARIAS,"BBVA FIDUCIARIA S,A,",BBVA FIDUCIARIA S.A.,180
SOCIEDADES FIDUCIARIAS,SOCIEDADES FIDUCIARIAS,BBVA FIDUCIARIA S.A.,BBVA FIDUCIARIA S.A.,180
SOCIEDADES FIDUCIARIAS,SOCIEDADES FIDUCIARIAS,BNP PARIBAS SECURITIES SERVICES SOC,BNP PARIBAS SECURITIES SERVICES SOC,181
SOCIEDADES FIDUCIARIAS,SOCIEDADES FIDUCIARIAS,BTG PACTUAL,BTG PACTUAL,182
SOCIEDADES FIDUCIARIAS,SOCIEDADES FIDUCIARIAS,"CITITRUST S,A,",CITITRUST S.A.,183
SOCIEDADES FIDUCIARIAS,SOCIEDADES FIDUCIARIAS,CITITRUST S.A.,CITITRUST S.A.,183
SOCIEDADES FIDUCIARIAS,SOCIEDADES FIDUCIARIAS,"Credicorp Capital Fiduciaria S,A,",Credicorp Capital Fiduciaria S.A.,184
SOCIEDADES FIDUCIARIAS,SOCIEDADES FIDUCIARIAS,Credicorp Capital Fiduciaria S.A.,Credicorp Capital Fiduciaria S.A.,184
SOCIEDADES FIDUCIARIAS,SOCIEDADES FIDUCIARIAS,"FIDUAGRARIA S,A,",FIDUAGRARIA S.A.,185
SOCIEDADES FIDUCIARIAS,SOCIEDADES FIDUCIARIAS,FIDUAGRARIA S.A.,FIDUAGRARIA S.A.,185
SOCIEDADES FIDUCIARIAS,SOCIEDADES FIDUCIARIAS,"FIDUCENTRAL S,A,",FIDUCENTRAL S.A.,186
SOCIEDADES FIDUCIARIAS,SOCIEDADES FIDUCIARIAS,FIDUCENTRAL S.A.,FIDUCENTRAL S.A.,186
SOCIEDADES FIDUCIARIAS,SOCIEDADES FIDUCIARIAS,"Fiduciaria Bancolombia S,A,",Fiduciaria Bancolombia S.A.,187
SOCIEDADES FIDUCIARIAS,SOCIEDADES FIDUCIARIAS,Fiduciaria Bancolombia S.A.,Fiduciaria Bancolombia S.A.,187
SOCIEDADES FIDUCIARIAS,SOCIEDADES FIDUCIARIAS,"FIDUCIARIA BOGOTA S,A,",FIDUCIARIA BOGOTA S.A.,188
SOCIEDADES FIDUCIARIAS,SOCIEDADES FIDUCIARIAS,FIDUCIARIA BOGOTA S.A.,FIDUCIARIA BOGOTA S.A.,188
SOCIEDADES FIDUCIARIAS,SOCIEDADES FIDUCIARIAS,"FIDUCIARIA COLMENA S,A,",FIDUCIARIA COLMENA S.A.,189
SOCIEDADES FIDUCIARIAS,SOCIEDADES FIDUCIARIAS,FIDUCIARIA COLMENA S.A.,FIDUCIARIA COLMENA S.A.,189
SOCIEDADES FIDUCIARIAS,SOCIEDADES FIDUCIARIAS,FIDUCIARIA COLPATRIA,FIDUCIARIA COLPATRIA,190
SOCIEDADES FIDUCIARIAS,SOCIEDADES FIDUCIARIAS,"FIDUCIARIA CORFICOLOMBIANA S,A,",FIDUCIARIA CORFICOLOMBIANA S.A.,191
SOCIEDADES FIDUCIARIAS,SOCIEDADES FIDUCIARIAS,FIDUCIARIA CORFICOLOMBIANA S.A.,FIDUCIARIA CORFICOLOMBIANA S.A.,191
SOCIEDADES FIDUCIARIAS,SOCIEDADES FIDUCIARIAS,FIDUCIARIA DAVIVIENDA,FIDUCIARIA DAVIVIENDA,192
SOCIEDADES FIDUCIARIAS,SOCIEDADES FIDUCIARIAS,"FIDUCIARIA POPULAR S,A,",FIDUCIARIA POPULAR S.A.,193
SOCIEDADES FIDUCIARIAS,SOCIEDADES FIDUCIARIAS,FIDUCIARIA POPULAR S.A.,FIDUCIARIA POPULAR S.A.,193
SOCIEDADES FIDUCIARIAS,SOCIEDADES FIDUCIARIAS,"FIDUCOLDEX S,A,",FIDUCOLDEX S.A.,194
SOCIEDADES FIDUCIARIAS,SOCIEDADES FIDUCIARIAS,FIDUCOLDEX S.A.,FIDUCOLDEX S.A.,194
SOCIEDADES FIDUCIARIAS,SOCIEDADES FIDUCIARIAS,FIDUCOOMEVA,FIDUCOOMEVA,195
SOCIEDADES FIDUCIARIAS,SOCIEDADES FIDUCIARIAS,"FIDUOCCIDENTE S,A,",FIDUOCCIDENTE S.A.,196
SOCIEDADES FIDUCIARIAS,SOCIEDADES FIDUCIARIAS,FIDUOCCIDENTE S.A.,FIDUOCCIDENTE S.A.,196
SOCIEDADES FIDUCIARIAS,SOCIEDADES FIDUCIARIAS,"GESTION FIDUCIARIA S,A,",GESTION FIDUCIARIA S.A.,197
SOCIEDADES FIDUCIARIAS,SOCIEDADES FIDUCIARIAS,GESTION FIDUCIARIA S.A.,GESTION FIDUCIARIA S.A.,197
SOCIEDADES FIDUCIARIAS,SOCIEDADES FIDUCIARIAS,ITAU FIDUCIARIA,ITAU FIDUCIARIA,198
SOCIEDADES FIDUCIARIAS,SOCIEDADES FIDUCIARIAS,ITAU SECURITIES SERVICES,ITAU SECURITIES SERVICES,199
SOCIEDADES FIDUCIARIAS,SOCIEDADES FIDUCIARIAS,"OLD MUTUAL SOCIEDAD FIDUCIARIA S,A,",OLD MUTUAL SOCIEDAD FIDUCIARIA S.A.,200
SOCIEDADES FIDUCIARIAS,SOCIEDADES FIDUCIARIAS,OLD MUTUAL SOCIEDAD FIDUCIARIA S.A.,OLD MUTUAL SOCIEDAD FIDUCIARIA S.A.,200
SOCIEDADES FIDUCIARIAS,SOCIEDADES FIDUCIARIAS,"PREVISORA S,A,",PREVISORA S.A.,201
SOCIEDADES FIDUCIARIAS,SOCIEDADES FIDUCIARIAS,PREVISORA S.A.,PREVISORA S.A.,201
SOCIEDADES FIDUCIARIAS,SOCIEDADES FIDUCIARIAS,"RENTA 4 & GLOBAL FIDUCIARIA S,A,",RENTA 4 & GLOBAL FIDUCIARIA S.A.,202
SOCIEDADES FIDUCIARIAS,SOCIEDADES FIDUCIARIAS,RENTA 4 & GLOBAL FIDUCIARIA S.A.,RENTA 4 & GLOBAL FIDUCIARIA S.A.,202
SOCIEDADES FIDUCIARIAS,SOCIEDADES FIDUCIARIAS,SANTANDER SECURITIES SERVICES,SANTANDER SECURITIES SERVICES,203
SOCIEDADES FIDUCIARIAS,SOCIEDADES FIDUCIARIAS,"SERVITRUST GNB SUDAMERIS S,A,",SERVITRUST GNB SUDAMERIS S.A.,204
SOCIEDADES FIDUCIARIAS,SOCIEDADES FIDUCIARIAS,SERVITRUST GNB SUDAMERIS S.A.,SERVITRUST GNB SUDAMERIS S.A.,204
