type_from,type_to,inst_from,inst_to,inst_key
COMPANIAS DE FINANCIAMIENTO COMERCI,COMPANIAS DE FINANCIAMIENTO,"COMPANIA DE FINANCIAMIENTO TUYA S,A",COMPANIA DE FINANCIAMIENTO TUYA S.A,27
COMPANIAS DE FINANCIAMIENTO COMERCI,COMPANIAS DE FINANCIAMIENTO,COMPANIA DE FINANCIAMIENTO TUYA S.A,COMPANIA DE FINANCIAMIENTO TUYA S.A,27
COMPANIAS DE FINANCIAMIENTO COMERCI,COMPANIAS DE FINANCIAMIENTO,CREDIFAMILIA,CREDIFAMILIA,28
COMPANIAS DE FINANCIAMIENTO COMERCI,COMPANIAS DE FINANCIAMIENTO,"DANN REGIONAL S,A,",DANN REGIONAL S.A.,29
COMPANIAS DE FINANCIAMIENTO COMERCI,COMPANIAS DE FINANCIAMIENTO,DANN REGIONAL S.A.,DANN REGIONAL S.A.,29
COMPANIAS DE FINANCIAMIENTO COMERCI,COMPANIAS DE FINANCIAMIENTO,FIN JURISCOOP SA CIA FINANCIAMIENTO,FIN JURISCOOP SA CIA FINANCIAMIENTO,30
COMPANIAS DE FINANCIAMIENTO COMERCI,COMPANIAS DE FINANCIAMIENTO,"GIROS Y FINANZAS  S,A, C,F",GIROS Y FINANZAS  S.A. C.F,31
COMPANIAS DE FINANCIAMIENTO COMERCI,COMPANIAS DE FINANCIAMIENTO,GIROS Y FINANZAS  S.A. C.F,GIROS Y FINANZAS  S.A. C.F,31
COMPANIAS DE FINANCIAMIENTO COMERCI,COMPANIAS DE FINANCIAMIENTO,"GM FINANCIAL COLOMBIA S,A,",GM FINANCIAL COLOMBIA S.A.,32
COMPANIAS DE FINANCIAMIENTO COMERCI,COMPANIAS DE FINANCIAMIENTO,GM FINANCIAL COLOMBIA S.A.,GM FINANCIAL COLOMBIA S.A.,32
COMPANIAS DE FINANCIAMIENTO COMERCI,COMPANIAS DE FINANCIAMIENTO,LA HIPOTECARIA COMPANIA DE FINANCIA,LA HIPOTECARIA COMPANIA DE FINANCIA,33
COMPANIAS DE FINANCIAMIENTO COMERCI,COMPANIAS DE FINANCIAMIENTO,"LEASING BANCOLDEX S,A,",LEASING BANCOLDEX S.A.,34
